query_id,user_id,benchmark_tier,query_type,query_language,query_text,target_event_id,target_venue_id,target_name,target_trail_id,target_timestamp,target_category,target_city,cue_year,cue_month,cue_city,cue_category,cue_previous_event_id,cue_previous_place,cue_next_event_id,cue_next_place,is_high_memory_load
tokyo_126183_semantic,126183,core,semantic,dataset_native_mixed,Which Coffee Shop did I visit in Hachiōji?,2018_2118349__event_002,4009,ドトールコーヒーショップ,2018_2118349,2017-10-16 10:04:00,Coffee Shop,Hachiōji,,,Hachiōji,Coffee Shop,,,,,True
tokyo_126183_temporal_spatial,126183,core,temporal_spatial,dataset_native_mixed,Which Japanese Restaurant did I visit in Hachiōji in January 2018?,2018_2118370__event_003,1389,大戸屋,2018_2118370,2018-01-09 08:12:00,Japanese Restaurant,Hachiōji,2018,01,Hachiōji,Japanese Restaurant,,,,,True
tokyo_126183_relational_after,126183,core,relational_after,dataset_native_mixed,Which Bar did I visit after 家系ラーメン まるに家?,2018_2118390__event_003,3152,アニソンDJバー グリュック,2018_2118390,2018-03-16 11:35:00,Bar,Hachiōji,,,,Bar,2018_2118390__event_002,家系ラーメン まるに家,,,True
tokyo_130084_semantic,130084,core,semantic,dataset_native_mixed,Which Multiplex did I visit in Hachiōji?,2018_2179333__event_001,275,MOVIX橋本,2018_2179333,2018-05-03 05:56:00,Multiplex,Hachiōji,,,Hachiōji,Multiplex,,,,,True
tokyo_130084_temporal_spatial,130084,core,temporal_spatial,dataset_native_mixed,Which Butcher did I visit in Hachiōji in April 2018?,2018_2179329__event_003,2380,ミートショップ 寿々木,2018_2179329,2018-04-22 08:06:00,Butcher,Hachiōji,2018,04,Hachiōji,Butcher,,,,,True
tokyo_130084_relational_after,130084,core,relational_after,dataset_native_mixed,Which Bar did I visit after New Flame International Shot Bar?,2018_2179339__event_002,3152,アニソンDJバー グリュック,2018_2179339,2018-05-23 13:40:00,Bar,Hachiōji,,,,Bar,2018_2179339__event_001,New Flame International Shot Bar,,,True
tokyo_132723_semantic,132723,core,semantic,dataset_native_mixed,Which Asian Restaurant did I visit in Hachiōji?,2018_2219917__event_003,985,鉄板焼 志野,2018_2219917,2018-09-12 03:45:00,Asian Restaurant,Hachiōji,,,Hachiōji,Asian Restaurant,,,,,True
tokyo_132723_temporal_spatial,132723,core,temporal_spatial,dataset_native_mixed,Which Multiplex did I visit in Hachiōji in September 2018?,2018_2219915__event_001,275,MOVIX橋本,2018_2219915,2018-09-01 06:54:00,Multiplex,Hachiōji,2018,09,Hachiōji,Multiplex,,,,,True
tokyo_132723_relational_after,132723,core,relational_after,dataset_native_mixed,Which Arcade did I visit after 一本堂 相模原橋本店?,2018_2219866__event_002,3361,アピナ 橋本店,2018_2219866,2017-10-09 07:11:00,Arcade,Hachiōji,,,,Arcade,2018_2219866__event_001,一本堂 相模原橋本店,,,True
tokyo_139656_semantic,139656,core,semantic,dataset_native_mixed,Which Gas Station did I visit in Fussa?,2018_2308863__event_002,199,ENEOS EneJet シンエネ昭島SS,2018_2308863,2018-02-17 18:34:00,Gas Station,Fussa,,,Fussa,Gas Station,,,,,True
tokyo_139656_temporal_spatial,139656,core,temporal_spatial,dataset_native_mixed,Which Restaurant did I visit in Hachiōji in December 2017?,2018_2308851__event_001,4285,ジョイフル,2018_2308851,2017-12-31 08:04:00,Restaurant,Hachiōji,2017,12,Hachiōji,Restaurant,,,,,True
tokyo_139656_relational_after,139656,core,relational_after,dataset_native_mixed,Which Rest Area did I visit after ジョイフル?,2018_2308851__event_002,80,道の駅 八王子滝山,2018_2308851,2017-12-31 10:49:00,Rest Area,Hachiōji,,,,Rest Area,2018_2308851__event_001,ジョイフル,,,True
tokyo_156873_semantic,156873,core,semantic,dataset_native_mixed,Which Italian Restaurant did I visit in Fussa?,2018_2498146__event_002,1543,サイゼリヤ,2018_2498146,2018-03-31 12:34:00,Italian Restaurant,Fussa,,,Fussa,Italian Restaurant,,,,,True
tokyo_156873_temporal_spatial,156873,core,temporal_spatial,dataset_native_mixed,Which Arcade did I visit in Fussa in February 2018?,2018_2498138__event_001,292,ドラマ 瑞穂店 (DORAMA),2018_2498138,2018-02-04 08:59:00,Arcade,Fussa,2018,02,Fussa,Arcade,,,,,True
tokyo_156873_relational_after,156873,core,relational_after,dataset_native_mixed,Which Racetrack did I visit after 軽自動車検査協会 八王子支所?,2018_2498120__event_002,3797,ハイネス二宮,2018_2498120,2017-10-30 03:11:00,Racetrack,Fussa,,,,Racetrack,2018_2498120__event_001,軽自動車検査協会 八王子支所,,,True
tokyo_167728_semantic,167728,core,semantic,dataset_native_mixed,Which Cable Car did I visit in Hachiōji?,2018_2604362__event_001,650,高尾山駅,2018_2604362,2018-01-03 23:47:00,Cable Car,Hachiōji,,,Hachiōji,Cable Car,,,,,True
tokyo_167728_temporal_spatial,167728,core,temporal_spatial,dataset_native_mixed,Which Park did I visit in Hachiōji in October 2017?,2018_2604345__event_001,4067,宇津貫公園,2018_2604345,2017-10-09 02:17:00,Park,Hachiōji,2017,10,Hachiōji,Park,,,,,True
tokyo_167728_relational_after,167728,core,relational_after,dataset_native_mixed,Which Fishing Store did I visit after からやま?,2018_2604406__event_002,3239,キャスティング,2018_2604406,2018-08-04 11:14:00,Fishing Store,Hachiōji,,,,Fishing Store,2018_2604406__event_001,からやま,,,True
tokyo_19379_semantic,19379,core,semantic,dataset_native_mixed,Which Hospital did I visit in Hachiōji?,2018_395327__event_001,2031,駒木野病院,2018_395327,2017-11-23 02:11:00,Hospital,Hachiōji,,,Hachiōji,Hospital,,,,,True
tokyo_19379_temporal_spatial,19379,core,temporal_spatial,dataset_native_mixed,Which Platform did I visit in Hachiōji in October 2017?,2018_395294__event_001,3101,1-2番線ホーム,2018_395294,2017-10-14 00:52:00,Platform,Hachiōji,2017,10,Hachiōji,Platform,,,,,True
tokyo_19379_relational_after,19379,core,relational_after,dataset_native_mixed,Which Mountain did I visit after BOOKOFF 橋本駅南口店?,2018_395480__event_002,4017,高乗寺山,2018_395480,2018-04-21 10:47:00,Mountain,Hachiōji,,,,Mountain,2018_395480__event_001,BOOKOFF 橋本駅南口店,,,True
tokyo_24620_temporal_spatial,24620,core,temporal_spatial,dataset_native_mixed,Which Motorcycle Shop did I visit in Hachiōji in February 2018?,2018_500374__event_002,374,ライコランド 多摩境店,2018_500374,2018-02-04 07:56:00,Motorcycle Shop,Hachiōji,2018,02,Hachiōji,Motorcycle Shop,,,,,True
tokyo_24620_relational_after,24620,core,relational_after,dataset_native_mixed,Which Bakery did I visit after セブンイレブン 相模原城山川尻東店?,2018_500321__event_002,1254,オギノパン 本社工場直売店,2018_500321,2017-11-11 06:50:00,Bakery,Hachiōji,,,,Bakery,2018_500321__event_001,セブンイレブン 相模原城山川尻東店,,,True
tokyo_24664_semantic,24664,core,semantic,dataset_native_mixed,Which Bike Shop did I visit in Hachiōji?,2018_501969__event_001,2675,リバースオート,2018_501969,2018-07-28 04:25:00,Bike Shop,Hachiōji,,,Hachiōji,Bike Shop,,,,,True
tokyo_24664_temporal_spatial,24664,core,temporal_spatial,dataset_native_mixed,Which Convenience Store did I visit in Hachiōji in July 2018?,2018_501965__event_001,1873,ローソン 相模原緑西橋本四丁目店,2018_501965,2018-07-15 10:22:00,Convenience Store,Hachiōji,2018,07,Hachiōji,Convenience Store,,,,,True
tokyo_24664_relational_after,24664,core,relational_after,dataset_native_mixed,Which Spiritual Center did I visit after 金剛院?,2018_501939__event_007,1806,本立寺,2018_501939,2018-01-08 05:27:00,Spiritual Center,Hachiōji,,,,Spiritual Center,2018_501939__event_006,金剛院,,,True
tokyo_24765_semantic,24765,core,semantic,dataset_native_mixed,Which Golf Course did I visit in Fussa?,2018_504006__event_002,1318,武蔵野ゴルフクラブ,2018_504006,2017-12-25 06:08:00,Golf Course,Fussa,,,Fussa,Golf Course,,,,,True
tokyo_24765_temporal_spatial,24765,core,temporal_spatial,dataset_native_mixed,Which Miscellaneous Shop did I visit in Fussa in February 2018?,2018_504023__event_002,1948,ダイソー 武蔵村山榎店,2018_504023,2018-02-22 05:08:00,Miscellaneous Shop,Fussa,2018,02,Fussa,Miscellaneous Shop,,,,,True
tokyo_24765_relational_after,24765,core,relational_after,dataset_native_mixed,Which Convenience Store did I visit after 八王子実践中学校・高等学校?,2018_504026__event_003,2083,セブンイレブン 八王子片倉南店,2018_504026,2018-02-28 03:38:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_504026__event_002,八王子実践中学校・高等学校,,,True
tokyo_264627_semantic,264627,core,semantic,dataset_native_mixed,Which Noodle House did I visit in Hachiōji?,2018_3303898__event_002,4150,びんびん亭 ユーロード店,2018_3303898,2018-03-04 05:39:00,Noodle House,Hachiōji,,,Hachiōji,Noodle House,,,,,True
tokyo_264627_temporal_spatial,264627,core,temporal_spatial,dataset_native_mixed,Which Karaoke Bar did I visit in Hachiōji in February 2018?,2018_3303892__event_002,1370,歌広場 八王子放射線通り店,2018_3303892,2018-02-21 11:39:00,Karaoke Bar,Hachiōji,2018,02,Hachiōji,Karaoke Bar,,,,,True
tokyo_264627_relational_after,264627,core,relational_after,dataset_native_mixed,Which Ramen Restaurant did I visit after ドン・キホーテ?,2018_3303923__event_002,1185,一平ラーメン,2018_3303923,2018-04-28 08:59:00,Ramen Restaurant,Hachiōji,,,,Ramen Restaurant,2018_3303923__event_001,ドン・キホーテ,,,True
tokyo_26786_semantic,26786,core,semantic,dataset_native_mixed,Which Fried Chicken Joint did I visit in Hachiōji?,2018_543193__event_002,1569,ケンタッキーフライドチキン,2018_543193,2017-12-24 06:50:00,Fried Chicken Joint,Hachiōji,,,Hachiōji,Fried Chicken Joint,,,,,True
tokyo_26786_temporal_spatial,26786,core,temporal_spatial,dataset_native_mixed,Which Record Shop did I visit in Hachiōji in June 2018?,2018_543252__event_004,1438,TOWER RECORDS,2018_543252,2018-06-13 05:50:00,Record Shop,Hachiōji,2018,06,Hachiōji,Record Shop,,,,,True
tokyo_26786_relational_after,26786,core,relational_after,dataset_native_mixed,Which Government Building did I visit after 東京医科大学 八王子医療センター?,2018_543238__event_002,2362,堺市民センター,2018_543238,2018-05-02 07:03:00,Government Building,Hachiōji,,,,Government Building,2018_543238__event_001,東京医科大学 八王子医療センター,,,True
tokyo_280210_semantic,280210,core,semantic,dataset_native_mixed,Which Bike Shop did I visit in Fussa?,2018_3396792__event_003,3034,TREK Bicycle 東京昭島モリタウン,2018_3396792,2018-01-07 09:49:00,Bike Shop,Fussa,,,Fussa,Bike Shop,,,,,True
tokyo_280210_temporal_spatial,280210,core,temporal_spatial,dataset_native_mixed,Which Café did I visit in Hachiōji in February 2018?,2018_3396806__event_001,736,Evergreen Cafe,2018_3396806,2018-02-24 08:37:00,Café,Hachiōji,2018,02,Hachiōji,Café,,,,,True
tokyo_280210_relational_after,280210,core,relational_after,dataset_native_mixed,Which Automotive Shop did I visit after びっくりドンキー?,2018_3396831__event_002,1751,スーパーオートバックス SA羽村店,2018_3396831,2018-05-13 04:57:00,Automotive Shop,Fussa,,,,Automotive Shop,2018_3396831__event_001,びっくりドンキー,,,True
tokyo_283450_semantic,283450,core,semantic,dataset_native_mixed,Which Bridge did I visit in Fussa?,2018_3416150__event_002,3039,加美上水橋,2018_3416150,2018-08-04 07:32:00,Bridge,Fussa,,,Fussa,Bridge,,,,,True
tokyo_283450_temporal_spatial,283450,core,temporal_spatial,dataset_native_mixed,Which Video Store did I visit in Fussa in June 2018?,2018_3416139__event_001,2089,TSUTAYA 福生店,2018_3416139,2018-06-09 09:23:00,Video Store,Fussa,2018,06,Fussa,Video Store,,,,,True
tokyo_283450_relational_after,283450,core,relational_after,dataset_native_mixed,Which Supermarket did I visit after 江川亭 昭島店?,2018_3416086__event_002,158,西友 福生店,2018_3416086,2018-01-06 03:45:00,Supermarket,Fussa,,,,Supermarket,2018_3416086__event_001,江川亭 昭島店,,,True
tokyo_28664_semantic,28664,core,semantic,dataset_native_mixed,Which Yoshoku Restaurant did I visit in Hachiōji?,2018_580023__event_002,4374,ラケル イーアス高尾店,2018_580023,2017-10-20 05:39:00,Yoshoku Restaurant,Hachiōji,,,Hachiōji,Yoshoku Restaurant,,,,,True
tokyo_28664_temporal_spatial,28664,core,temporal_spatial,dataset_native_mixed,Which Diner did I visit in Hachiōji in January 2018?,2018_580040__event_002,3847,からやま,2018_580040,2018-01-12 12:40:00,Diner,Hachiōji,2018,01,Hachiōji,Diner,,,,,True
tokyo_28664_relational_after,28664,core,relational_after,dataset_native_mixed,Which Steakhouse did I visit after 三ヶ木バスターミナル?,2018_580044__event_007,1449,ステーキのどん 相模原橋本店,2018_580044,2018-01-22 10:04:00,Steakhouse,Hachiōji,,,,Steakhouse,2018_580044__event_006,三ヶ木バスターミナル,,,True
tokyo_32545_semantic,32545,core,semantic,dataset_native_mixed,Which Sushi Restaurant did I visit in Hachiōji?,2018_661998__event_003,1554,スシロー,2018_661998,2018-04-08 11:17:00,Sushi Restaurant,Hachiōji,,,Hachiōji,Sushi Restaurant,,,,,True
tokyo_32545_temporal_spatial,32545,core,temporal_spatial,dataset_native_mixed,Which Convenience Store did I visit in Hachiōji in December 2017?,2018_661957__event_002,3320,ファミリーマート 八王子大楽寺東店,2018_661957,2017-12-20 04:53:00,Convenience Store,Hachiōji,2017,12,Hachiōji,Convenience Store,,,,,True
tokyo_32545_relational_after,32545,core,relational_after,dataset_native_mixed,Which Convenience Store did I visit after ケンタッキーフライドチキン?,2018_661962__event_003,1267,セブンイレブン 八王子弐分方町店,2018_661962,2018-01-01 13:00:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_661962__event_002,ケンタッキーフライドチキン,,,True
tokyo_325605_semantic,325605,core,semantic,dataset_native_mixed,Which Fast Food Restaurant did I visit in Hachiōji?,2018_3674424__event_001,112,マクドナルド,2018_3674424,2018-04-20 05:49:00,Fast Food Restaurant,Hachiōji,,,Hachiōji,Fast Food Restaurant,,,,,True
tokyo_325605_temporal_spatial,325605,core,temporal_spatial,dataset_native_mixed,Which Music Store did I visit in Hachiōji in May 2018?,2018_3674434__event_002,1116,島村楽器,2018_3674434,2018-05-08 08:32:00,Music Store,Hachiōji,2018,05,Hachiōji,Music Store,,,,,True
tokyo_325605_relational_after,325605,core,relational_after,dataset_native_mixed,Which Italian Restaurant did I visit after アニメイト?,2018_3674468__event_002,1017,サイゼリヤ,2018_3674468,2018-09-14 08:10:00,Italian Restaurant,Hachiōji,,,,Italian Restaurant,2018_3674468__event_001,アニメイト,,,True
tokyo_342180_semantic,342180,core,semantic,dataset_native_mixed,Which Gas Station did I visit in Hachiōji?,2018_3773294__event_001,2508,ENEOS Dr. Drive八王子中野SS,2018_3773294,2018-05-17 17:00:00,Gas Station,Hachiōji,,,Hachiōji,Gas Station,,,,,True
tokyo_342180_temporal_spatial,342180,core,temporal_spatial,dataset_native_mixed,Which Bowling Alley did I visit in Fussa in March 2018?,2018_3773284__event_002,1203,ラウンドワン 武蔵村山店,2018_3773284,2018-03-06 12:57:00,Bowling Alley,Fussa,2018,03,Fussa,Bowling Alley,,,,,True
tokyo_342180_relational_after,342180,core,relational_after,dataset_native_mixed,Which Bowling Alley did I visit after 道の駅 八王子滝山?,2018_3773318__event_004,1221,ラウンドワン 八王子店,2018_3773318,2018-07-13 15:42:00,Bowling Alley,Hachiōji,,,,Bowling Alley,2018_3773318__event_003,道の駅 八王子滝山,,,True
tokyo_350248_semantic,350248,core,semantic,dataset_native_mixed,Which Bus Station did I visit in Hachiōji?,2018_3820558__event_002,2287,宮ヶ瀬 バス停,2018_3820558,2018-07-07 14:42:00,Bus Station,Hachiōji,,,Hachiōji,Bus Station,,,,,True
tokyo_350248_temporal_spatial,350248,core,temporal_spatial,dataset_native_mixed,Which Supermarket did I visit in Hachiōji in June 2018?,2018_3820551__event_002,2857,イトーヨーカドー,2018_3820551,2018-06-16 06:18:00,Supermarket,Hachiōji,2018,06,Hachiōji,Supermarket,,,,,True
tokyo_350248_relational_after,350248,core,relational_after,dataset_native_mixed,Which Convenience Store did I visit after ロイヤルホームセンター 相模原橋本店?,2018_3820531__event_002,1146,セブンイレブン 城山原宿2丁目店,2018_3820531,2018-04-12 12:30:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_3820531__event_001,ロイヤルホームセンター 相模原橋本店,,,True
tokyo_41088_semantic,41088,core,semantic,dataset_native_mixed,Which Shopping Mall did I visit in Fussa?,2018_830967__event_001,32,モリタウン (mori town),2018_830967,2017-10-05 06:44:00,Shopping Mall,Fussa,,,Fussa,Shopping Mall,,,,,True
tokyo_41088_temporal_spatial,41088,core,temporal_spatial,dataset_native_mixed,Which Bowling Alley did I visit in Fussa in February 2018?,2018_831031__event_001,1203,ラウンドワン 武蔵村山店,2018_831031,2018-02-09 08:35:00,Bowling Alley,Fussa,2018,02,Fussa,Bowling Alley,,,,,True
tokyo_41088_relational_after,41088,core,relational_after,dataset_native_mixed,Which Bowling Alley did I visit after モリタウン (mori town)?,2018_830967__event_002,1203,ラウンドワン 武蔵村山店,2018_830967,2017-10-05 08:08:00,Bowling Alley,Fussa,,,,Bowling Alley,2018_830967__event_001,モリタウン (mori town),,,True
tokyo_45205_semantic,45205,core,semantic,dataset_native_mixed,Which Military Base did I visit in Fussa?,2018_907576__event_001,1,U.S. AIR FORCE Yokota Air Base (米空軍横田基地),2018_907576,2018-09-16 07:44:00,Military Base,Fussa,,,Fussa,Military Base,,,,,True
tokyo_45205_temporal_spatial,45205,core,temporal_spatial,dataset_native_mixed,Which Recycling Facility did I visit in Hachiōji in October 2017?,2018_907469__event_003,3876,株式会社エコリターン,2018_907469,2017-10-16 11:34:00,Recycling Facility,Hachiōji,2017,10,Hachiōji,Recycling Facility,,,,,True
tokyo_45205_relational_after,45205,core,relational_after,dataset_native_mixed,Which Ramen Restaurant did I visit after ドン・キホーテ?,2018_907559__event_002,303,八代目 哲麺 めじろ台店,2018_907559,2018-08-13 12:06:00,Ramen Restaurant,Hachiōji,,,,Ramen Restaurant,2018_907559__event_001,ドン・キホーテ,,,True
tokyo_50046_semantic,50046,core,semantic,dataset_native_mixed,Which Noodle House did I visit in Fussa?,2018_1003971__event_002,3318,美豚 小作店,2018_1003971,2017-11-04 13:32:00,Noodle House,Fussa,,,Fussa,Noodle House,,,,,True
tokyo_50046_temporal_spatial,50046,core,temporal_spatial,dataset_native_mixed,Which Auto Workshop did I visit in Fussa in April 2018?,2018_1004028__event_001,3960,バリーコーポレーション,2018_1004028,2018-04-28 09:05:00,Auto Workshop,Fussa,2018,04,Fussa,Auto Workshop,,,,,True
tokyo_50046_relational_after,50046,core,relational_after,dataset_native_mixed,Which Furniture / Home Store did I visit after スーパーオートバックス SA羽村店?,2018_1004059__event_002,31,ジョイフル本田,2018_1004059,2018-08-18 09:29:00,Furniture / Home Store,Fussa,,,,Furniture / Home Store,2018_1004059__event_001,スーパーオートバックス SA羽村店,,,True
tokyo_51031_semantic,51031,core,semantic,dataset_native_mixed,Which Elementary School did I visit in Hachiōji?,2018_1023533__event_001,1837,八王子市立元木小学校,2018_1023533,2018-03-22 00:10:00,Elementary School,Hachiōji,,,Hachiōji,Elementary School,,,,,True
tokyo_51031_temporal_spatial,51031,core,temporal_spatial,dataset_native_mixed,Which Shopping Mall did I visit in Fussa in March 2018?,2018_1023533__event_003,83,イオンモール日の出,2018_1023533,2018-03-22 04:50:00,Shopping Mall,Fussa,2018,03,Fussa,Shopping Mall,,,,,True
tokyo_51031_relational_after,51031,core,relational_after,dataset_native_mixed,Which Train Station did I visit after 西八王子駅 (Nishi-Hachiōji Sta.) (JC23)?,2018_1023518__event_002,2,八王子駅 (Hachiōji Sta.),2018_1023518,2018-02-03 00:55:00,Train Station,Hachiōji,,,,Train Station,2018_1023518__event_001,西八王子駅 (Nishi-Hachiōji Sta.) (JC23),,,True
tokyo_60393_semantic,60393,core,semantic,dataset_native_mixed,Which Seafood Restaurant did I visit in Hachiōji?,2018_1190532__event_003,1277,磯丸水産,2018_1190532,2018-02-28 10:23:00,Seafood Restaurant,Hachiōji,,,Hachiōji,Seafood Restaurant,,,,,True
tokyo_60393_temporal_spatial,60393,core,temporal_spatial,dataset_native_mixed,Which Donburi Restaurant did I visit in Hachiōji in July 2018?,2018_1190583__event_004,131,松屋 八王子店,2018_1190583,2018-07-05 15:03:00,Donburi Restaurant,Hachiōji,2018,07,Hachiōji,Donburi Restaurant,,,,,True
tokyo_60393_relational_after,60393,core,relational_after,dataset_native_mixed,Which BBQ Joint did I visit after 昭島市役所?,2018_1190515__event_002,2803,牛角,2018_1190515,2018-01-30 12:22:00,BBQ Joint,Fussa,,,,BBQ Joint,2018_1190515__event_001,昭島市役所,,,True
tokyo_70564_semantic,70564,core,semantic,dataset_native_mixed,Which Donburi Restaurant did I visit in Hachiōji?,2018_1332642__event_003,570,吉野家,2018_1332642,2017-12-11 21:19:00,Donburi Restaurant,Hachiōji,,,Hachiōji,Donburi Restaurant,,,,,True
tokyo_70564_temporal_spatial,70564,core,temporal_spatial,dataset_native_mixed,Which Ice Cream Shop did I visit in Hachiōji in January 2018?,2018_1332644__event_002,3118,クレープショップMONKEY,2018_1332644,2018-01-02 07:02:00,Ice Cream Shop,Hachiōji,2018,01,Hachiōji,Ice Cream Shop,,,,,True
tokyo_70564_relational_after,70564,core,relational_after,dataset_native_mixed,Which Ramen Restaurant did I visit after 北原国際病院?,2018_1332637__event_002,1396,八王子ラーメン おがわ屋,2018_1332637,2017-12-02 02:56:00,Ramen Restaurant,Hachiōji,,,,Ramen Restaurant,2018_1332637__event_001,北原国際病院,,,True
tokyo_78286_semantic,78286,core,semantic,dataset_native_mixed,Which Convenience Store did I visit in Fussa?,2018_1453199__event_002,602,セブンイレブン 福生駅前東口店,2018_1453199,2018-05-14 19:33:00,Convenience Store,Fussa,,,Fussa,Convenience Store,,,,,True
tokyo_78286_temporal_spatial,78286,core,temporal_spatial,dataset_native_mixed,Which Ramen Restaurant did I visit in Hachiōji in October 2018?,2018_1453219__event_001,2352,八王子田田,2018_1453219,2018-10-16 11:23:00,Ramen Restaurant,Hachiōji,2018,10,Hachiōji,Ramen Restaurant,,,,,True
tokyo_78286_relational_after,78286,core,relational_after,dataset_native_mixed,Which Fire Station did I visit after イオンモール日の出?,2018_1453204__event_002,3105,福生消防署 熊川出張所,2018_1453204,2018-05-18 18:13:00,Fire Station,Fussa,,,,Fire Station,2018_1453204__event_001,イオンモール日の出,,,True
