query_id,user_id,query_type,candidate_count,seed_count,seed_event_ids,positive_seed_count,personalization_sum,ppr_event_score_sum,ppr_all_node_score_sum,nonzero_ppr_event_count,projected_node_count,projected_edge_count,connected_component_count,seeded_component_count,unseeded_component_count
tokyo_103621_relational_after,103621,relational_after,26,5,"[""2018_1816122__event_001"",""2018_1816122__event_002"",""2018_1816137__event_001"",""2018_1816118__event_001"",""2018_1816137__event_002""]",5,1,0.728509795103313,1,26,62,78,1,1,0
tokyo_103621_semantic,103621,semantic,26,5,"[""2018_1816137__event_002"",""2018_1816129__event_001"",""2018_1816131__event_002"",""2018_1816127__event_001"",""2018_1816122__event_002""]",5,1,0.733914355569352,1,26,62,78,1,1,0
tokyo_103621_temporal_spatial,103621,temporal_spatial,26,5,"[""2018_1816124__event_001"",""2018_1816112__event_001"",""2018_1816125__event_001"",""2018_1816125__event_002"",""2018_1816129__event_002""]",5,1,0.721103893477083,1,26,62,78,1,1,0
tokyo_106628_relational_after,106628,relational_after,88,5,"[""2018_1860406__event_003"",""2018_1860406__event_002"",""2018_1860419__event_002"",""2018_1860378__event_003"",""2018_1860419__event_001""]",5,1,0.739170482189157,1,88,218,281,2,1,1
tokyo_106628_semantic,106628,semantic,88,5,"[""2018_1860405__event_002"",""2018_1860443__event_003"",""2018_1860421__event_003"",""2018_1860443__event_002"",""2018_1860405__event_001""]",5,1,0.732917232881638,1,88,218,281,2,1,1
tokyo_106628_temporal_spatial,106628,temporal_spatial,88,5,"[""2018_1860435__event_002"",""2018_1860444__event_001"",""2018_1860394__event_002"",""2018_1860423__event_002"",""2018_1860391__event_003""]",5,1,0.735765163516962,1,88,218,281,2,1,1
tokyo_109617_relational_after,109617,relational_after,69,5,"[""2018_1909184__event_001"",""2018_1909144__event_001"",""2018_1909144__event_002"",""2018_1909199__event_001"",""2018_1909157__event_003""]",5,1,0.725316639319329,1,69,165,215,2,1,1
tokyo_109617_semantic,109617,semantic,69,5,"[""2018_1909178__event_001"",""2018_1909181__event_001"",""2018_1909181__event_002"",""2018_1909213__event_002"",""2018_1909214__event_003""]",5,1,0.734509063852558,1,69,165,215,2,2,0
tokyo_109617_temporal_spatial,109617,temporal_spatial,69,5,"[""2018_1909213__event_001"",""2018_1909138__event_002"",""2018_1909198__event_001"",""2018_1909181__event_002"",""2018_1909181__event_001""]",5,1,0.727154868218151,1,69,165,215,2,1,1
tokyo_109621_relational_after,109621,relational_after,92,5,"[""2018_1909384__event_001"",""2018_1909390__event_004"",""2018_1909383__event_003"",""2018_1909384__event_002"",""2018_1909372__event_004""]",5,1,0.735851791463959,1,92,213,310,2,1,1
tokyo_109621_semantic,109621,semantic,92,5,"[""2018_1909374__event_005"",""2018_1909371__event_001"",""2018_1909388__event_002"",""2018_1909374__event_002"",""2018_1909372__event_001""]",5,1,0.73314939741852,1,92,213,310,2,1,1
tokyo_109621_temporal_spatial,109621,temporal_spatial,92,5,"[""2018_1909385__event_002"",""2018_1909388__event_001"",""2018_1909388__event_002"",""2018_1909378__event_003"",""2018_1909395__event_001""]",5,1,0.723135858658993,1,92,213,310,2,2,0
tokyo_113499_relational_after,113499,relational_after,37,5,"[""2018_1959244__event_001"",""2018_1959238__event_001"",""2018_1959244__event_002"",""2018_1959238__event_002"",""2018_1959234__event_002""]",5,1,0.734290021867678,1,37,83,110,1,1,0
tokyo_113499_semantic,113499,semantic,37,5,"[""2018_1959247__event_001"",""2018_1959247__event_002"",""2018_1959250__event_001"",""2018_1959236__event_001"",""2018_1959251__event_001""]",5,1,0.722528453335636,1,37,83,110,1,1,0
tokyo_113499_temporal_spatial,113499,temporal_spatial,37,5,"[""2018_1959250__event_001"",""2018_1959250__event_002"",""2018_1959247__event_002"",""2018_1959243__event_001"",""2018_1959251__event_002""]",5,1,0.734755885741523,1,37,83,110,1,1,0
tokyo_113897_relational_after,113897,relational_after,39,5,"[""2018_1963899__event_002"",""2018_1963899__event_001"",""2018_1963895__event_002"",""2018_1963883__event_002"",""2018_1963883__event_001""]",5,1,0.726908567020946,1,39,89,118,1,1,0
tokyo_113897_semantic,113897,semantic,39,5,"[""2018_1963910__event_002"",""2018_1963882__event_001"",""2018_1963899__event_001"",""2018_1963913__event_003"",""2018_1963925__event_001""]",5,1,0.718598362278881,1,39,89,118,1,1,0
tokyo_113897_temporal_spatial,113897,temporal_spatial,39,5,"[""2018_1963902__event_002"",""2018_1963911__event_003"",""2018_1963913__event_002"",""2018_1963921__event_002"",""2018_1963882__event_002""]",5,1,0.746393222166483,1,39,89,118,1,1,0
tokyo_115855_relational_after,115855,relational_after,22,5,"[""2018_1984790__event_004"",""2018_1984790__event_002"",""2018_1984790__event_003"",""2018_1984806__event_001"",""2018_1984807__event_001""]",5,1,0.750637785996551,1,22,57,70,3,1,2
tokyo_115855_semantic,115855,semantic,22,5,"[""2018_1984781__event_001"",""2018_1984800__event_002"",""2018_1984790__event_004"",""2018_1984790__event_002"",""2018_1984800__event_001""]",5,1,0.735599220280612,1,22,57,70,3,2,1
tokyo_115855_temporal_spatial,115855,temporal_spatial,22,5,"[""2018_1984792__event_001"",""2018_1984792__event_002"",""2018_1984800__event_001"",""2018_1984781__event_002"",""2018_1984791__event_002""]",5,1,0.720801713376545,1,22,57,70,3,2,1
tokyo_1172_relational_after,1172,relational_after,73,5,"[""2018_23942__event_003"",""2018_23942__event_002"",""2018_23917__event_002"",""2018_23917__event_001"",""2018_23942__event_001""]",5,1,0.734090824980989,1,73,153,218,2,1,1
tokyo_1172_semantic,1172,semantic,73,5,"[""2018_23905__event_001"",""2018_23931__event_001"",""2018_23929__event_001"",""2018_23868__event_003"",""2018_23870__event_001""]",5,1,0.726251058473449,1,73,153,218,2,1,1
tokyo_1172_temporal_spatial,1172,temporal_spatial,73,5,"[""2018_23894__event_002"",""2018_23928__event_002"",""2018_23931__event_001"",""2018_23929__event_001"",""2018_23879__event_002""]",5,1,0.739856535368993,1,73,153,218,2,1,1
tokyo_119597_relational_after,119597,relational_after,37,5,"[""2018_2023466__event_002"",""2018_2023466__event_001"",""2018_2023466__event_003"",""2018_2023460__event_001"",""2018_2023481__event_003""]",5,1,0.745280798092095,1,37,81,115,1,1,0
tokyo_119597_semantic,119597,semantic,37,5,"[""2018_2023491__event_002"",""2018_2023481__event_004"",""2018_2023473__event_002"",""2018_2023460__event_003"",""2018_2023503__event_002""]",5,1,0.719736153601224,1,37,81,115,1,1,0
tokyo_119597_temporal_spatial,119597,temporal_spatial,37,5,"[""2018_2023484__event_004"",""2018_2023474__event_002"",""2018_2023484__event_001"",""2018_2023491__event_002"",""2018_2023484__event_005""]",5,1,0.73815647277696,1,37,81,115,1,1,0
tokyo_121554_relational_after,121554,relational_after,31,5,"[""2018_2047595__event_001"",""2018_2047610__event_001"",""2018_2047595__event_002"",""2018_2047610__event_002"",""2018_2047609__event_002""]",5,1,0.737470508889534,1,31,72,95,2,1,1
tokyo_121554_semantic,121554,semantic,31,5,"[""2018_2047617__event_001"",""2018_2047606__event_004"",""2018_2047607__event_002"",""2018_2047604__event_002"",""2018_2047595__event_002""]",5,1,0.737418840541044,1,31,72,95,2,2,0
tokyo_121554_temporal_spatial,121554,temporal_spatial,31,5,"[""2018_2047595__event_001"",""2018_2047610__event_001"",""2018_2047610__event_002"",""2018_2047595__event_002"",""2018_2047604__event_002""]",5,1,0.732388371258261,1,31,72,95,2,1,1
tokyo_126183_relational_after,126183,relational_after,71,5,"[""2018_2118382__event_003"",""2018_2118390__event_002"",""2018_2118390__event_003"",""2018_2118382__event_002"",""2018_2118390__event_001""]",5,1,0.756636135888868,1,71,145,212,3,1,2
tokyo_126183_semantic,126183,semantic,71,5,"[""2018_2118349__event_002"",""2018_2118374__event_001"",""2018_2118411__event_001"",""2018_2118370__event_002"",""2018_2118352__event_002""]",5,1,0.738480193030652,1,71,145,212,3,3,0
tokyo_126183_temporal_spatial,126183,temporal_spatial,71,5,"[""2018_2118374__event_002"",""2018_2118370__event_003"",""2018_2118382__event_003"",""2018_2118364__event_002"",""2018_2118392__event_003""]",5,1,0.727571265015617,1,71,145,212,3,1,2
tokyo_127201_relational_after,127201,relational_after,38,5,"[""2018_2134912__event_002"",""2018_2134938__event_005"",""2018_2134912__event_003"",""2018_2134912__event_001"",""2018_2134938__event_006""]",5,1,0.74334462972744,1,38,97,124,1,1,0
tokyo_127201_semantic,127201,semantic,38,5,"[""2018_2134917__event_001"",""2018_2134938__event_002"",""2018_2134922__event_001"",""2018_2134919__event_001"",""2018_2134924__event_001""]",5,1,0.727935106339628,1,38,97,124,1,1,0
tokyo_127201_temporal_spatial,127201,temporal_spatial,38,5,"[""2018_2134912__event_002"",""2018_2134938__event_005"",""2018_2134938__event_006"",""2018_2134912__event_001"",""2018_2134938__event_004""]",5,1,0.752968258195997,1,38,97,124,1,1,0
tokyo_129047_relational_after,129047,relational_after,21,5,"[""2018_2163684__event_001"",""2018_2163684__event_002"",""2018_2163669__event_001"",""2018_2163671__event_001"",""2018_2163674__event_001""]",5,1,0.726923189253113,1,21,40,59,1,1,0
tokyo_129047_semantic,129047,semantic,21,5,"[""2018_2163670__event_002"",""2018_2163670__event_003"",""2018_2163682__event_002"",""2018_2163669__event_001"",""2018_2163686__event_002""]",5,1,0.745286446747805,1,21,40,59,1,1,0
tokyo_129047_temporal_spatial,129047,temporal_spatial,21,5,"[""2018_2163670__event_003"",""2018_2163670__event_002"",""2018_2163671__event_002"",""2018_2163674__event_002"",""2018_2163682__event_002""]",5,1,0.746130578211529,1,21,40,59,1,1,0
tokyo_130084_relational_after,130084,relational_after,79,5,"[""2018_2179339__event_001"",""2018_2179326__event_002"",""2018_2179339__event_002"",""2018_2179326__event_001"",""2018_2179302__event_001""]",5,1,0.733305628038886,1,79,165,232,3,1,2
tokyo_130084_semantic,130084,semantic,79,5,"[""2018_2179333__event_001"",""2018_2179323__event_002"",""2018_2179323__event_001"",""2018_2179326__event_001"",""2018_2179338__event_001""]",5,1,0.724687859968972,1,79,165,232,3,2,1
tokyo_130084_temporal_spatial,130084,temporal_spatial,79,5,"[""2018_2179329__event_003"",""2018_2179323__event_002"",""2018_2179310__event_002"",""2018_2179310__event_001"",""2018_2179326__event_001""]",5,1,0.720530539758958,1,79,165,232,3,3,0
tokyo_130568_relational_after,130568,relational_after,34,5,"[""2018_2187169__event_001"",""2018_2187169__event_002"",""2018_2187173__event_003"",""2018_2187173__event_002"",""2018_2187164__event_002""]",5,1,0.741956443355496,1,34,85,115,1,1,0
tokyo_130568_semantic,130568,semantic,34,5,"[""2018_2187171__event_001"",""2018_2187173__event_001"",""2018_2187166__event_002"",""2018_2187170__event_003"",""2018_2187163__event_002""]",5,1,0.728540055739743,1,34,85,115,1,1,0
tokyo_130568_temporal_spatial,130568,temporal_spatial,34,5,"[""2018_2187173__event_005"",""2018_2187162__event_001"",""2018_2187173__event_006"",""2018_2187163__event_001"",""2018_2187163__event_002""]",5,1,0.743619914856975,1,34,85,115,1,1,0
tokyo_130777_relational_after,130777,relational_after,34,5,"[""2018_2190768__event_002"",""2018_2190688__event_001"",""2018_2190768__event_003"",""2018_2190768__event_001"",""2018_2190718__event_002""]",5,1,0.746286192101583,1,34,85,110,3,1,2
tokyo_130777_semantic,130777,semantic,34,5,"[""2018_2190763__event_002"",""2018_2190702__event_001"",""2018_2190688__event_003"",""2018_2190702__event_002"",""2018_2190696__event_003""]",5,1,0.720639722002438,1,34,85,110,3,2,1
tokyo_130777_temporal_spatial,130777,temporal_spatial,34,5,"[""2018_2190702__event_001"",""2018_2190702__event_002"",""2018_2190703__event_002"",""2018_2190696__event_003"",""2018_2190713__event_001""]",5,1,0.729869429163874,1,34,85,110,3,2,1
tokyo_130872_relational_after,130872,relational_after,34,5,"[""2018_2192458__event_001"",""2018_2192448__event_001"",""2018_2192468__event_001"",""2018_2192461__event_001"",""2018_2192457__event_003""]",5,1,0.719579932266787,1,34,79,107,1,1,0
tokyo_130872_semantic,130872,semantic,34,5,"[""2018_2192451__event_003"",""2018_2192476__event_001"",""2018_2192445__event_002"",""2018_2192464__event_002"",""2018_2192458__event_001""]",5,1,0.73242570712092,1,34,79,107,1,1,0
tokyo_130872_temporal_spatial,130872,temporal_spatial,34,5,"[""2018_2192476__event_001"",""2018_2192458__event_001"",""2018_2192448__event_001"",""2018_2192468__event_001"",""2018_2192469__event_001""]",5,1,0.719098157959099,1,34,79,107,1,1,0
tokyo_131525_relational_after,131525,relational_after,36,5,"[""2018_2202067__event_002"",""2018_2202067__event_001"",""2018_2202061__event_001"",""2018_2202061__event_002"",""2018_2202056__event_003""]",5,1,0.729587653297281,1,36,83,109,1,1,0
tokyo_131525_semantic,131525,semantic,36,5,"[""2018_2202078__event_002"",""2018_2202086__event_002"",""2018_2202062__event_001"",""2018_2202084__event_002"",""2018_2202065__event_003""]",5,1,0.735951740280269,1,36,83,109,1,1,0
tokyo_131525_temporal_spatial,131525,temporal_spatial,36,5,"[""2018_2202069__event_002"",""2018_2202084__event_001"",""2018_2202071__event_003"",""2018_2202076__event_001"",""2018_2202069__event_001""]",5,1,0.72804252835809,1,36,83,109,1,1,0
tokyo_132723_relational_after,132723,relational_after,48,5,"[""2018_2219866__event_002"",""2018_2219917__event_002"",""2018_2219894__event_002"",""2018_2219871__event_001"",""2018_2219866__event_001""]",5,1,0.737666920717619,1,48,115,148,1,1,0
tokyo_132723_semantic,132723,semantic,48,5,"[""2018_2219906__event_002"",""2018_2219903__event_001"",""2018_2219917__event_003"",""2018_2219867__event_002"",""2018_2219904__event_001""]",5,1,0.722335318641783,1,48,115,148,1,1,0
tokyo_132723_temporal_spatial,132723,temporal_spatial,48,5,"[""2018_2219904__event_002"",""2018_2219903__event_002"",""2018_2219915__event_001"",""2018_2219903__event_001"",""2018_2219906__event_001""]",5,1,0.72819871489259,1,48,115,148,1,1,0
tokyo_134307_relational_after,134307,relational_after,28,5,"[""2018_2242033__event_003"",""2018_2242042__event_001"",""2018_2242033__event_002"",""2018_2242042__event_002"",""2018_2242033__event_001""]",5,1,0.731014557707563,1,28,84,95,4,1,3
tokyo_134307_semantic,134307,semantic,28,5,"[""2018_2242051__event_003"",""2018_2242026__event_002"",""2018_2242026__event_001"",""2018_2242043__event_002"",""2018_2242038__event_001""]",5,1,0.714233779905527,1,28,84,95,4,3,1
tokyo_134307_temporal_spatial,134307,temporal_spatial,28,5,"[""2018_2242038__event_002"",""2018_2242029__event_002"",""2018_2242038__event_001"",""2018_2242026__event_001"",""2018_2242043__event_002""]",5,1,0.712921824917016,1,28,84,95,4,2,2
tokyo_135393_relational_after,135393,relational_after,46,5,"[""2018_2257268__event_001"",""2018_2257318__event_001"",""2018_2257274__event_002"",""2018_2257260__event_002"",""2018_2257276__event_001""]",5,1,0.743015650254392,1,46,111,147,1,1,0
tokyo_135393_semantic,135393,semantic,46,5,"[""2018_2257283__event_003"",""2018_2257273__event_001"",""2018_2257269__event_001"",""2018_2257265__event_003"",""2018_2257283__event_001""]",5,1,0.733913897175738,1,46,111,147,1,1,0
tokyo_135393_temporal_spatial,135393,temporal_spatial,46,5,"[""2018_2257283__event_004"",""2018_2257269__event_002"",""2018_2257299__event_001"",""2018_2257267__event_001"",""2018_2257283__event_002""]",5,1,0.732352296768556,1,46,111,147,1,1,0
tokyo_138301_relational_after,138301,relational_after,39,5,"[""2018_2294104__event_002"",""2018_2294104__event_003"",""2018_2294100__event_001"",""2018_2294067__event_001"",""2018_2294132__event_001""]",5,1,0.75228158821298,1,39,87,121,2,1,1
tokyo_138301_semantic,138301,semantic,39,5,"[""2018_2294095__event_002"",""2018_2294097__event_001"",""2018_2294095__event_001"",""2018_2294097__event_002"",""2018_2294109__event_001""]",5,1,0.721176278506016,1,39,87,121,2,2,0
tokyo_138301_temporal_spatial,138301,temporal_spatial,39,5,"[""2018_2294117__event_001"",""2018_2294097__event_001"",""2018_2294109__event_001"",""2018_2294113__event_003"",""2018_2294104__event_003""]",5,1,0.741659914762332,1,39,87,121,2,1,1
tokyo_139656_relational_after,139656,relational_after,55,5,"[""2018_2308851__event_001"",""2018_2308851__event_002"",""2018_2308866__event_001"",""2018_2308866__event_002"",""2018_2308868__event_001""]",5,1,0.749309567595247,1,55,90,142,1,1,0
tokyo_139656_semantic,139656,semantic,55,5,"[""2018_2308863__event_002"",""2018_2308887__event_002"",""2018_2308886__event_002"",""2018_2308846__event_002"",""2018_2308885__event_002""]",5,1,0.741226169326533,1,55,90,142,1,1,0
tokyo_139656_temporal_spatial,139656,temporal_spatial,55,5,"[""2018_2308846__event_002"",""2018_2308845__event_002"",""2018_2308851__event_003"",""2018_2308849__event_002"",""2018_2308839__event_002""]",5,1,0.74852084946246,1,55,90,142,1,1,0
tokyo_140734_relational_after,140734,relational_after,24,5,"[""2018_2320244__event_002"",""2018_2320244__event_001"",""2018_2320243__event_002"",""2018_2320253__event_004"",""2018_2320242__event_001""]",5,1,0.721412059929526,1,24,68,80,3,1,2
tokyo_140734_semantic,140734,semantic,24,5,"[""2018_2320244__event_001"",""2018_2320244__event_002"",""2018_2320266__event_001"",""2018_2320259__event_002"",""2018_2320260__event_002""]",5,1,0.712555804866448,1,24,68,80,3,3,0
tokyo_140734_temporal_spatial,140734,temporal_spatial,24,5,"[""2018_2320253__event_004"",""2018_2320243__event_002"",""2018_2320260__event_001"",""2018_2320253__event_003"",""2018_2320246__event_002""]",5,1,0.738521336604704,1,24,68,80,3,1,2
tokyo_140775_relational_after,140775,relational_after,23,5,"[""2018_2320657__event_002"",""2018_2320676__event_001"",""2018_2320665__event_001"",""2018_2320660__event_001"",""2018_2320657__event_001""]",5,1,0.71889858146791,1,23,63,78,2,1,1
tokyo_140775_semantic,140775,semantic,23,5,"[""2018_2320660__event_001"",""2018_2320666__event_001"",""2018_2320666__event_002"",""2018_2320660__event_002"",""2018_2320657__event_001""]",5,1,0.724275287740636,1,23,63,78,2,1,1
tokyo_140775_temporal_spatial,140775,temporal_spatial,23,5,"[""2018_2320655__event_001"",""2018_2320675__event_002"",""2018_2320655__event_002"",""2018_2320664__event_001"",""2018_2320665__event_002""]",5,1,0.712002877004162,1,23,63,78,2,2,0
tokyo_149225_relational_after,149225,relational_after,33,5,"[""2018_2402528__event_001"",""2018_2402531__event_001"",""2018_2402538__event_001"",""2018_2402537__event_002"",""2018_2402534__event_001""]",5,1,0.744750474329108,1,33,72,98,1,1,0
tokyo_149225_semantic,149225,semantic,33,5,"[""2018_2402517__event_002"",""2018_2402517__event_003"",""2018_2402537__event_002"",""2018_2402517__event_001"",""2018_2402533__event_002""]",5,1,0.744676177472962,1,33,72,98,1,1,0
tokyo_149225_temporal_spatial,149225,temporal_spatial,33,5,"[""2018_2402533__event_002"",""2018_2402529__event_002"",""2018_2402523__event_001"",""2018_2402514__event_002"",""2018_2402537__event_003""]",5,1,0.740033740407607,1,33,72,98,1,1,0
tokyo_152722_relational_after,152722,relational_after,33,5,"[""2018_2446506__event_002"",""2018_2446524__event_005"",""2018_2446527__event_001"",""2018_2446506__event_001"",""2018_2446527__event_002""]",5,1,0.732093485827143,1,33,70,103,1,1,0
tokyo_152722_semantic,152722,semantic,33,5,"[""2018_2446517__event_003"",""2018_2446506__event_001"",""2018_2446517__event_002"",""2018_2446535__event_001"",""2018_2446506__event_002""]",5,1,0.733399240698402,1,33,70,103,1,1,0
tokyo_152722_temporal_spatial,152722,temporal_spatial,33,5,"[""2018_2446517__event_003"",""2018_2446506__event_001"",""2018_2446517__event_002"",""2018_2446518__event_001"",""2018_2446506__event_002""]",5,1,0.730140461562129,1,33,70,103,1,1,0
tokyo_156873_relational_after,156873,relational_after,116,5,"[""2018_2498120__event_002"",""2018_2498120__event_001"",""2018_2498119__event_001"",""2018_2498165__event_001"",""2018_2498133__event_002""]",5,1,0.739391436244527,1,116,254,358,3,1,2
tokyo_156873_semantic,156873,semantic,116,5,"[""2018_2498146__event_002"",""2018_2498158__event_003"",""2018_2498144__event_001"",""2018_2498179__event_002"",""2018_2498121__event_001""]",5,1,0.723889648068189,1,116,254,358,3,1,2
tokyo_156873_temporal_spatial,156873,temporal_spatial,116,5,"[""2018_2498138__event_001"",""2018_2498135__event_003"",""2018_2498141__event_001"",""2018_2498127__event_003"",""2018_2498178__event_001""]",5,1,0.727714073254633,1,116,254,358,3,1,2
tokyo_167728_relational_after,167728,relational_after,59,5,"[""2018_2604406__event_002"",""2018_2604352__event_005"",""2018_2604406__event_001"",""2018_2604396__event_001"",""2018_2604352__event_003""]",5,1,0.741990603760672,1,59,152,196,5,1,4
tokyo_167728_semantic,167728,semantic,59,5,"[""2018_2604362__event_001"",""2018_2604345__event_002"",""2018_2604366__event_003"",""2018_2604382__event_001"",""2018_2604362__event_006""]",5,1,0.729544632821954,1,59,152,196,5,2,3
tokyo_167728_temporal_spatial,167728,temporal_spatial,59,5,"[""2018_2604345__event_001"",""2018_2604349__event_001"",""2018_2604345__event_002"",""2018_2604362__event_002"",""2018_2604362__event_001""]",5,1,0.730165775138139,1,59,152,196,5,2,3
tokyo_169053_relational_after,169053,relational_after,25,5,"[""2018_2620268__event_001"",""2018_2620302__event_002"",""2018_2620285__event_002"",""2018_2620302__event_001"",""2018_2620268__event_002""]",5,1,0.754984573083403,1,25,54,74,1,1,0
tokyo_169053_semantic,169053,semantic,25,5,"[""2018_2620254__event_001"",""2018_2620268__event_001"",""2018_2620254__event_002"",""2018_2620302__event_002"",""2018_2620311__event_002""]",5,1,0.733218669670084,1,25,54,74,1,1,0
tokyo_169053_temporal_spatial,169053,temporal_spatial,25,5,"[""2018_2620302__event_004"",""2018_2620287__event_002"",""2018_2620297__event_001"",""2018_2620302__event_003"",""2018_2620311__event_001""]",5,1,0.741110050924856,1,25,54,74,1,1,0
tokyo_171659_relational_after,171659,relational_after,26,5,"[""2018_2647177__event_004"",""2018_2647177__event_003"",""2018_2647177__event_002"",""2018_2647205__event_002"",""2018_2647199__event_002""]",5,1,0.735453281529884,1,26,64,86,2,2,0
tokyo_171659_semantic,171659,semantic,26,5,"[""2018_2647186__event_001"",""2018_2647186__event_002"",""2018_2647182__event_003"",""2018_2647180__event_001"",""2018_2647205__event_001""]",5,1,0.730208068373955,1,26,64,86,2,2,0
tokyo_171659_temporal_spatial,171659,temporal_spatial,26,5,"[""2018_2647199__event_002"",""2018_2647197__event_002"",""2018_2647196__event_002"",""2018_2647187__event_002"",""2018_2647182__event_003""]",5,1,0.720671660758062,1,26,64,86,2,1,1
tokyo_178798_relational_after,178798,relational_after,26,5,"[""2018_2707923__event_001"",""2018_2707923__event_002"",""2018_2707929__event_001"",""2018_2707932__event_002"",""2018_2707926__event_003""]",5,1,0.726874586243856,1,26,75,87,5,2,3
tokyo_178798_semantic,178798,semantic,26,5,"[""2018_2707928__event_001"",""2018_2707928__event_002"",""2018_2707935__event_002"",""2018_2707934__event_001"",""2018_2707934__event_002""]",5,1,0.712016731194292,1,26,75,87,5,2,3
tokyo_178798_temporal_spatial,178798,temporal_spatial,26,5,"[""2018_2707928__event_002"",""2018_2707929__event_002"",""2018_2707945__event_002"",""2018_2707932__event_003"",""2018_2707934__event_002""]",5,1,0.718654792088456,1,26,75,87,5,1,4
tokyo_19379_relational_after,19379,relational_after,80,5,"[""2018_395480__event_002"",""2018_395480__event_001"",""2018_395513__event_002"",""2018_395513__event_001"",""2018_395362__event_003""]",5,1,0.733988555089415,1,80,173,236,2,1,1
tokyo_19379_semantic,19379,semantic,80,5,"[""2018_395327__event_001"",""2018_395452__event_001"",""2018_395404__event_002"",""2018_395327__event_002"",""2018_395452__event_002""]",5,1,0.723635181726394,1,80,173,236,2,2,0
tokyo_19379_temporal_spatial,19379,temporal_spatial,80,5,"[""2018_395452__event_002"",""2018_395404__event_002"",""2018_395490__event_001"",""2018_395497__event_001"",""2018_395294__event_001""]",5,1,0.739132431217031,1,80,173,236,2,1,1
tokyo_210254_relational_after,210254,relational_after,29,5,"[""2018_2949678__event_001"",""2018_2949678__event_002"",""2018_2949696__event_004"",""2018_2949695__event_002"",""2018_2949702__event_001""]",5,1,0.723947431717731,1,29,84,99,5,1,4
tokyo_210254_semantic,210254,semantic,29,5,"[""2018_2949690__event_002"",""2018_2949686__event_002"",""2018_2949696__event_003"",""2018_2949696__event_001"",""2018_2949696__event_002""]",5,1,0.742128511324706,1,29,84,99,5,2,3
tokyo_210254_temporal_spatial,210254,temporal_spatial,29,5,"[""2018_2949696__event_002"",""2018_2949696__event_003"",""2018_2949693__event_002"",""2018_2949693__event_001"",""2018_2949689__event_001""]",5,1,0.736466115385976,1,29,84,99,5,3,2
