event_id,user_id,trail_id,venue_id,timestamp,name,venue_category,venue_city,address,previous_event_id,previous_place,next_event_id,next_place,is_high_memory_load,event_text
2018_1765798__event_002,100159,2018_1765798,2632,2018-01-16 08:59:00,カッパ64,Ramen Restaurant,Fussa,北田園1-6-9,2018_1765798__event_001,麺処 いし川,,,True,"On January 16, 2018 at 08:59, the user visited カッパ64, a Ramen Restaurant in Fussa. Address: 北田園1-6-9. Previous place: 麺処 いし川."
2018_1765800__event_001,100159,2018_1765800,3509,2018-02-21 02:33:00,松屋,Noodle House,Fussa,箱根ケ崎258-22,,,2018_1765800__event_002,五ノ神精肉店,True,"On February 21, 2018 at 02:33, the user visited 松屋, a Noodle House in Fussa. Address: 箱根ケ崎258-22. Next place: 五ノ神精肉店."
2018_1765800__event_002,100159,2018_1765800,4092,2018-02-21 09:04:00,五ノ神精肉店,Ramen Restaurant,Fussa,小川東3-9-13,2018_1765800__event_001,松屋,,,True,"On February 21, 2018 at 09:04, the user visited 五ノ神精肉店, a Ramen Restaurant in Fussa. Address: 小川東3-9-13. Previous place: 松屋."
2018_1765802__event_001,100159,2018_1765802,2154,2018-03-20 02:04:00,ふたばや（うどん）,Udon Restaurant,Hachiōji,子安町1-44-5,,,2018_1765802__event_002,ラーメン 太公望,True,"On March 20, 2018 at 02:04, the user visited ふたばや（うどん）, a Udon Restaurant in Hachiōji. Address: 子安町1-44-5. Next place: ラーメン 太公望."
2018_1765802__event_002,100159,2018_1765802,1290,2018-03-20 08:59:00,ラーメン 太公望,Ramen Restaurant,Fussa,秋川1-2-6,2018_1765802__event_001,ふたばや（うどん）,,,True,"On March 20, 2018 at 08:59, the user visited ラーメン 太公望, a Ramen Restaurant in Fussa. Address: 秋川1-2-6. Previous place: ふたばや（うどん）."
2018_1765805__event_001,100159,2018_1765805,4219,2018-04-03 02:33:00,八王子 響,Ramen Restaurant,Hachiōji,平岡町15-14,,,2018_1765805__event_002,スシロー,True,"On April 3, 2018 at 02:33, the user visited 八王子 響, a Ramen Restaurant in Hachiōji. Address: 平岡町15-14. Next place: スシロー."
2018_1765805__event_002,100159,2018_1765805,729,2018-04-03 09:26:00,スシロー,Sushi Restaurant,Fussa,熊川261-1,2018_1765805__event_001,八王子 響,,,True,"On April 3, 2018 at 09:26, the user visited スシロー, a Sushi Restaurant in Fussa. Address: 熊川261-1. Previous place: 八王子 響."
2018_1765809__event_001,100159,2018_1765809,1290,2018-04-17 03:49:00,ラーメン 太公望,Ramen Restaurant,Fussa,秋川1-2-6,,,2018_1765809__event_002,らーめん 楓,True,"On April 17, 2018 at 03:49, the user visited ラーメン 太公望, a Ramen Restaurant in Fussa. Address: 秋川1-2-6. Next place: らーめん 楓."
2018_1765809__event_002,100159,2018_1765809,408,2018-04-17 08:59:00,らーめん 楓,Ramen Restaurant,Hachiōji,大和田町5-10-1,2018_1765809__event_001,ラーメン 太公望,,,True,"On April 17, 2018 at 08:59, the user visited らーめん 楓, a Ramen Restaurant in Hachiōji. Address: 大和田町5-10-1. Previous place: ラーメン 太公望."
2018_1765810__event_001,100159,2018_1765810,3074,2018-04-24 02:20:00,麺処 いし川,Ramen Restaurant,Fussa,二宮337-1,,,2018_1765810__event_002,らーめん 楓,True,"On April 24, 2018 at 02:20, the user visited 麺処 いし川, a Ramen Restaurant in Fussa. Address: 二宮337-1. Next place: らーめん 楓."
2018_1765810__event_002,100159,2018_1765810,408,2018-04-24 09:53:00,らーめん 楓,Ramen Restaurant,Hachiōji,大和田町5-10-1,2018_1765810__event_001,麺処 いし川,,,True,"On April 24, 2018 at 09:53, the user visited らーめん 楓, a Ramen Restaurant in Hachiōji. Address: 大和田町5-10-1. Previous place: 麺処 いし川."
2018_1765814__event_001,100159,2018_1765814,983,2018-05-15 02:09:00,武蔵野うどん たまや,Udon Restaurant,Hachiōji,中町11-4,,,2018_1765814__event_002,らーめん 縁,True,"On May 15, 2018 at 02:09, the user visited 武蔵野うどん たまや, a Udon Restaurant in Hachiōji. Address: 中町11-4. Next place: らーめん 縁."
2018_1765814__event_002,100159,2018_1765814,3901,2018-05-15 08:47:00,らーめん 縁,Ramen Restaurant,Fussa,昭和町5-12-11,2018_1765814__event_001,武蔵野うどん たまや,,,True,"On May 15, 2018 at 08:47, the user visited らーめん 縁, a Ramen Restaurant in Fussa. Address: 昭和町5-12-11. Previous place: 武蔵野うどん たまや."
2018_1765816__event_001,100159,2018_1765816,3603,2018-05-22 03:30:00,㐂九家,Noodle House,Fussa,今寺5-18-49,,,2018_1765816__event_002,五ノ神精肉店,True,"On May 22, 2018 at 03:30, the user visited 㐂九家, a Noodle House in Fussa. Address: 今寺5-18-49. Next place: 五ノ神精肉店."
2018_1765816__event_002,100159,2018_1765816,4092,2018-05-22 09:18:00,五ノ神精肉店,Ramen Restaurant,Fussa,小川東3-9-13,2018_1765816__event_001,㐂九家,,,True,"On May 22, 2018 at 09:18, the user visited 五ノ神精肉店, a Ramen Restaurant in Fussa. Address: 小川東3-9-13. Previous place: 㐂九家."
2018_1765818__event_001,100159,2018_1765818,408,2018-06-13 19:28:00,らーめん 楓,Ramen Restaurant,Hachiōji,大和田町5-10-1,,,2018_1765818__event_002,五ノ神精肉店,True,"On June 13, 2018 at 19:28, the user visited らーめん 楓, a Ramen Restaurant in Hachiōji. Address: 大和田町5-10-1. Next place: 五ノ神精肉店."
2018_1765818__event_002,100159,2018_1765818,4092,2018-06-14 02:48:00,五ノ神精肉店,Ramen Restaurant,Fussa,小川東3-9-13,2018_1765818__event_001,らーめん 楓,,,True,"On June 14, 2018 at 02:48, the user visited 五ノ神精肉店, a Ramen Restaurant in Fussa. Address: 小川東3-9-13. Previous place: らーめん 楓."
2018_1765820__event_001,100159,2018_1765820,4677,2018-06-21 02:35:00,,Ramen Restaurant,Hachiōji,,,,2018_1765820__event_002,ほっこり中華そば もつけ,True,"On June 21, 2018 at 02:35, the user recorded a travel event. Category: Ramen Restaurant. City: Hachiōji. Next place: ほっこり中華そば もつけ."
2018_1765820__event_002,100159,2018_1765820,3897,2018-06-21 09:41:00,ほっこり中華そば もつけ,Ramen Restaurant,Hachiōji,万町34-1,2018_1765820__event_001,,,,True,"On June 21, 2018 at 09:41, the user visited ほっこり中華そば もつけ, a Ramen Restaurant in Hachiōji. Address: 万町34-1."
2018_1765823__event_001,100159,2018_1765823,4677,2018-07-05 02:16:00,,Ramen Restaurant,Hachiōji,,,,2018_1765823__event_002,五ノ神精肉店,True,"On July 5, 2018 at 02:16, the user recorded a travel event. Category: Ramen Restaurant. City: Hachiōji. Next place: 五ノ神精肉店."
2018_1765823__event_002,100159,2018_1765823,4092,2018-07-05 09:37:00,五ノ神精肉店,Ramen Restaurant,Fussa,小川東3-9-13,2018_1765823__event_001,,,,True,"On July 5, 2018 at 09:37, the user visited 五ノ神精肉店, a Ramen Restaurant in Fussa. Address: 小川東3-9-13."
2018_1765825__event_001,100159,2018_1765825,3074,2018-07-10 02:20:00,麺処 いし川,Ramen Restaurant,Fussa,二宮337-1,,,2018_1765825__event_002,八王子 響,True,"On July 10, 2018 at 02:20, the user visited 麺処 いし川, a Ramen Restaurant in Fussa. Address: 二宮337-1. Next place: 八王子 響."
2018_1765825__event_002,100159,2018_1765825,4219,2018-07-10 09:34:00,八王子 響,Ramen Restaurant,Hachiōji,平岡町15-14,2018_1765825__event_001,麺処 いし川,,,True,"On July 10, 2018 at 09:34, the user visited 八王子 響, a Ramen Restaurant in Hachiōji. Address: 平岡町15-14. Previous place: 麺処 いし川."
2018_1765827__event_001,100159,2018_1765827,236,2018-07-15 03:22:00,福島屋 本店,Supermarket,Fussa,五ノ神3-15-1,,,2018_1765827__event_002,㐂九家,True,"On July 15, 2018 at 03:22, the user visited 福島屋 本店, a Supermarket in Fussa. Address: 五ノ神3-15-1. Next place: 㐂九家."
2018_1765827__event_002,100159,2018_1765827,3603,2018-07-15 03:50:00,㐂九家,Noodle House,Fussa,今寺5-18-49,2018_1765827__event_001,福島屋 本店,,,True,"On July 15, 2018 at 03:50, the user visited 㐂九家, a Noodle House in Fussa. Address: 今寺5-18-49. Previous place: 福島屋 本店."
2018_1765830__event_001,100159,2018_1765830,4489,2018-07-30 02:18:00,ら～麺 安至,Ramen Restaurant,Hachiōji,緑区二本松1-35-8,,,2018_1765830__event_002,支那ソバ 玉龍,True,"On July 30, 2018 at 02:18, the user visited ら～麺 安至, a Ramen Restaurant in Hachiōji. Address: 緑区二本松1-35-8. Next place: 支那ソバ 玉龍."
2018_1765830__event_002,100159,2018_1765830,4060,2018-07-30 09:29:00,支那ソバ 玉龍,Ramen Restaurant,Fussa,緑町4-1-27,2018_1765830__event_001,ら～麺 安至,,,True,"On July 30, 2018 at 09:29, the user visited 支那ソバ 玉龍, a Ramen Restaurant in Fussa. Address: 緑町4-1-27. Previous place: ら～麺 安至."
2018_1765836__event_001,100159,2018_1765836,408,2018-08-28 02:29:00,らーめん 楓,Ramen Restaurant,Hachiōji,大和田町5-10-1,,,2018_1765836__event_002,八王子 響,True,"On August 28, 2018 at 02:29, the user visited らーめん 楓, a Ramen Restaurant in Hachiōji. Address: 大和田町5-10-1. Next place: 八王子 響."
2018_1765836__event_002,100159,2018_1765836,4219,2018-08-28 09:18:00,八王子 響,Ramen Restaurant,Hachiōji,平岡町15-14,2018_1765836__event_001,らーめん 楓,,,True,"On August 28, 2018 at 09:18, the user visited 八王子 響, a Ramen Restaurant in Hachiōji. Address: 平岡町15-14. Previous place: らーめん 楓."
2018_1765837__event_001,100159,2018_1765837,4489,2018-09-06 02:14:00,ら～麺 安至,Ramen Restaurant,Hachiōji,緑区二本松1-35-8,,,2018_1765837__event_002,らーめん 縁,True,"On September 6, 2018 at 02:14, the user visited ら～麺 安至, a Ramen Restaurant in Hachiōji. Address: 緑区二本松1-35-8. Next place: らーめん 縁."
2018_1765837__event_002,100159,2018_1765837,3901,2018-09-06 09:44:00,らーめん 縁,Ramen Restaurant,Fussa,昭和町5-12-11,2018_1765837__event_001,ら～麺 安至,,,True,"On September 6, 2018 at 09:44, the user visited らーめん 縁, a Ramen Restaurant in Fussa. Address: 昭和町5-12-11. Previous place: ら～麺 安至."
2018_1767863__event_001,100312,2018_1767863,86,2017-10-06 02:25:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767863__event_002,新宿さぼてん,True,"On October 6, 2017 at 02:25, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: 新宿さぼてん."
2018_1767863__event_002,100312,2018_1767863,2046,2017-10-06 02:40:00,新宿さぼてん,Tonkatsu Restaurant,Fussa,榎1-1-3-1062,2018_1767863__event_001,イオンモールむさし村山,,,True,"On October 6, 2017 at 02:40, the user visited 新宿さぼてん, a Tonkatsu Restaurant in Fussa. Address: 榎1-1-3-1062. Previous place: イオンモールむさし村山."
2018_1767866__event_001,100312,2018_1767866,31,2017-11-01 01:33:00,ジョイフル本田,Furniture / Home Store,Fussa,殿ケ谷442,,,2018_1767866__event_002,ジャパンミート生鮮館 瑞穂店,True,"On November 1, 2017 at 01:33, the user visited ジョイフル本田, a Furniture / Home Store in Fussa. Address: 殿ケ谷442. Next place: ジャパンミート生鮮館 瑞穂店."
2018_1767866__event_002,100312,2018_1767866,549,2017-11-01 02:22:00,ジャパンミート生鮮館 瑞穂店,Grocery Store,Fussa,殿ヶ谷442,2018_1767866__event_001,ジョイフル本田,,,True,"On November 1, 2017 at 02:22, the user visited ジャパンミート生鮮館 瑞穂店, a Grocery Store in Fussa. Address: 殿ヶ谷442. Previous place: ジョイフル本田."
2018_1767867__event_001,100312,2018_1767867,86,2017-11-04 02:00:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767867__event_002,丸亀製麺,True,"On November 4, 2017 at 02:00, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: 丸亀製麺."
2018_1767867__event_002,100312,2018_1767867,1953,2017-11-04 02:38:00,丸亀製麺,Udon Restaurant,Fussa,榎1-1-3,2018_1767867__event_001,イオンモールむさし村山,,,True,"On November 4, 2017 at 02:38, the user visited 丸亀製麺, a Udon Restaurant in Fussa. Address: 榎1-1-3. Previous place: イオンモールむさし村山."
2018_1767870__event_001,100312,2018_1767870,9,2017-11-11 02:11:00,ザ・モールみずほ16,Shopping Mall,Fussa,高根623,,,2018_1767870__event_002,リンガーハット,True,"On November 11, 2017 at 02:11, the user visited ザ・モールみずほ16, a Shopping Mall in Fussa. Address: 高根623. Next place: リンガーハット."
2018_1767870__event_002,100312,2018_1767870,3854,2017-11-11 02:38:00,リンガーハット,Noodle House,Fussa,高根623,2018_1767870__event_001,ザ・モールみずほ16,,,True,"On November 11, 2017 at 02:38, the user visited リンガーハット, a Noodle House in Fussa. Address: 高根623. Previous place: ザ・モールみずほ16."
2018_1767876__event_001,100312,2018_1767876,86,2017-11-25 03:41:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767876__event_002,ユニクロ,True,"On November 25, 2017 at 03:41, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: ユニクロ."
2018_1767876__event_002,100312,2018_1767876,906,2017-11-25 04:18:00,ユニクロ,Clothing Store,Fussa,榎1-1-3,2018_1767876__event_001,イオンモールむさし村山,,,True,"On November 25, 2017 at 04:18, the user visited ユニクロ, a Clothing Store in Fussa. Address: 榎1-1-3. Previous place: イオンモールむさし村山."
2018_1767879__event_001,100312,2018_1767879,86,2017-12-05 02:09:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767879__event_002,風び イオンモールむさし村山店,True,"On December 5, 2017 at 02:09, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: 風び イオンモールむさし村山店."
2018_1767879__event_002,100312,2018_1767879,2149,2017-12-05 02:15:00,風び イオンモールむさし村山店,Ramen Restaurant,Fussa,榎1-1-3,2018_1767879__event_001,イオンモールむさし村山,,,True,"On December 5, 2017 at 02:15, the user visited 風び イオンモールむさし村山店, a Ramen Restaurant in Fussa. Address: 榎1-1-3. Previous place: イオンモールむさし村山."
2018_1767880__event_001,100312,2018_1767880,1665,2017-12-11 01:20:00,コイデカメラ 小平小川町店,Camera Store,Higashimurayama,小川東町1-6-24,,,2018_1767880__event_002,ドン・キホーテ,True,"On December 11, 2017 at 01:20, the user visited コイデカメラ 小平小川町店, a Camera Store in Higashimurayama. Address: 小川東町1-6-24. Next place: ドン・キホーテ."
2018_1767880__event_002,100312,2018_1767880,1118,2017-12-11 01:41:00,ドン・キホーテ,Discount Store,Higashimurayama,小川東町1-5-22,2018_1767880__event_001,コイデカメラ 小平小川町店,,,True,"On December 11, 2017 at 01:41, the user visited ドン・キホーテ, a Discount Store in Higashimurayama. Address: 小川東町1-5-22. Previous place: コイデカメラ 小平小川町店."
2018_1767885__event_001,100312,2018_1767885,31,2017-12-22 02:06:00,ジョイフル本田,Furniture / Home Store,Fussa,殿ケ谷442,,,2018_1767885__event_002,すき家,True,"On December 22, 2017 at 02:06, the user visited ジョイフル本田, a Furniture / Home Store in Fussa. Address: 殿ケ谷442. Next place: すき家."
2018_1767885__event_002,100312,2018_1767885,2169,2017-12-22 02:47:00,すき家,Fast Food Restaurant,Fussa,殿ヶ谷442,2018_1767885__event_001,ジョイフル本田,,,True,"On December 22, 2017 at 02:47, the user visited すき家, a Fast Food Restaurant in Fussa. Address: 殿ヶ谷442. Previous place: ジョイフル本田."
2018_1767887__event_001,100312,2018_1767887,86,2017-12-28 02:15:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767887__event_002,おらがそば,True,"On December 28, 2017 at 02:15, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: おらがそば."
2018_1767887__event_002,100312,2018_1767887,3071,2017-12-28 02:42:00,おらがそば,Soba Restaurant,Fussa,榎1-1-3,2018_1767887__event_001,イオンモールむさし村山,,,True,"On December 28, 2017 at 02:42, the user visited おらがそば, a Soba Restaurant in Fussa. Address: 榎1-1-3. Previous place: イオンモールむさし村山."
2018_1767890__event_001,100312,2018_1767890,86,2018-01-06 01:41:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767890__event_002,炭焼ステーキ くに 武蔵村山店,True,"On January 6, 2018 at 01:41, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: 炭焼ステーキ くに 武蔵村山店."
2018_1767890__event_002,100312,2018_1767890,1893,2018-01-06 02:23:00,炭焼ステーキ くに 武蔵村山店,Steakhouse,Fussa,榎1-1-3,2018_1767890__event_001,イオンモールむさし村山,,,True,"On January 6, 2018 at 02:23, the user visited 炭焼ステーキ くに 武蔵村山店, a Steakhouse in Fussa. Address: 榎1-1-3. Previous place: イオンモールむさし村山."
2018_1767893__event_001,100312,2018_1767893,86,2018-01-20 01:54:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767893__event_002,紅虎餃子房,True,"On January 20, 2018 at 01:54, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: 紅虎餃子房."
2018_1767893__event_002,100312,2018_1767893,708,2018-01-20 02:19:00,紅虎餃子房,Chinese Restaurant,Fussa,榎1-1-3,2018_1767893__event_001,イオンモールむさし村山,,,True,"On January 20, 2018 at 02:19, the user visited 紅虎餃子房, a Chinese Restaurant in Fussa. Address: 榎1-1-3. Previous place: イオンモールむさし村山."
2018_1767895__event_001,100312,2018_1767895,86,2018-01-30 02:50:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767895__event_002,大阪王将,True,"On January 30, 2018 at 02:50, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: 大阪王将."
2018_1767895__event_002,100312,2018_1767895,3058,2018-01-30 03:00:00,大阪王将,Chinese Restaurant,Fussa,榎1-1-3,2018_1767895__event_001,イオンモールむさし村山,,,True,"On January 30, 2018 at 03:00, the user visited 大阪王将, a Chinese Restaurant in Fussa. Address: 榎1-1-3. Previous place: イオンモールむさし村山."
2018_1767902__event_001,100312,2018_1767902,86,2018-02-27 02:31:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767902__event_002,鶏白湯らーめん 自由が丘蔭山,True,"On February 27, 2018 at 02:31, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: 鶏白湯らーめん 自由が丘蔭山."
2018_1767902__event_002,100312,2018_1767902,3993,2018-02-27 02:53:00,鶏白湯らーめん 自由が丘蔭山,Ramen Restaurant,Fussa,榎1-1-3,2018_1767902__event_001,イオンモールむさし村山,,,True,"On February 27, 2018 at 02:53, the user visited 鶏白湯らーめん 自由が丘蔭山, a Ramen Restaurant in Fussa. Address: 榎1-1-3. Previous place: イオンモールむさし村山."
2018_1767903__event_001,100312,2018_1767903,3802,2018-02-28 01:58:00,イーストビレッジ (East Village),Shopping Mall,Higashimurayama,恩多町3-29-1,,,2018_1767903__event_002,ジャパンミート卸売市場 東村山店,True,"On February 28, 2018 at 01:58, the user visited イーストビレッジ (East Village), a Shopping Mall in Higashimurayama. Address: 恩多町3-29-1. Next place: ジャパンミート卸売市場 東村山店."
2018_1767903__event_002,100312,2018_1767903,589,2018-02-28 02:03:00,ジャパンミート卸売市場 東村山店,Grocery Store,Higashimurayama,恩多町3-29-1,2018_1767903__event_001,イーストビレッジ (East Village),,,True,"On February 28, 2018 at 02:03, the user visited ジャパンミート卸売市場 東村山店, a Grocery Store in Higashimurayama. Address: 恩多町3-29-1. Previous place: イーストビレッジ (East Village)."
2018_1767905__event_001,100312,2018_1767905,86,2018-03-08 01:51:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767905__event_002,いきなり!ステーキ,True,"On March 8, 2018 at 01:51, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: いきなり!ステーキ."
2018_1767905__event_002,100312,2018_1767905,4610,2018-03-08 02:13:00,いきなり!ステーキ,Steakhouse,Fussa,榎1-1-3,2018_1767905__event_001,イオンモールむさし村山,,,True,"On March 8, 2018 at 02:13, the user visited いきなり!ステーキ, a Steakhouse in Fussa. Address: 榎1-1-3. Previous place: イオンモールむさし村山."
2018_1767907__event_001,100312,2018_1767907,208,2018-03-14 01:37:00,東村山税務署,Government Building,Higashimurayama,本町1-20-22,,,2018_1767907__event_002,バーミヤン,True,"On March 14, 2018 at 01:37, the user visited 東村山税務署, a Government Building in Higashimurayama. Address: 本町1-20-22. Next place: バーミヤン."
2018_1767907__event_002,100312,2018_1767907,1789,2018-03-14 02:10:00,バーミヤン,Chinese Restaurant,Higashimurayama,久米川町4-3-35,2018_1767907__event_001,東村山税務署,2018_1767907__event_003,ジャパンミート卸売市場 東村山店,True,"On March 14, 2018 at 02:10, the user visited バーミヤン, a Chinese Restaurant in Higashimurayama. Address: 久米川町4-3-35. Previous place: 東村山税務署. Next place: ジャパンミート卸売市場 東村山店."
2018_1767907__event_003,100312,2018_1767907,589,2018-03-14 03:00:00,ジャパンミート卸売市場 東村山店,Grocery Store,Higashimurayama,恩多町3-29-1,2018_1767907__event_002,バーミヤン,,,True,"On March 14, 2018 at 03:00, the user visited ジャパンミート卸売市場 東村山店, a Grocery Store in Higashimurayama. Address: 恩多町3-29-1. Previous place: バーミヤン."
2018_1767913__event_001,100312,2018_1767913,86,2018-03-29 02:28:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767913__event_002,おらがそば,True,"On March 29, 2018 at 02:28, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: おらがそば."
2018_1767913__event_002,100312,2018_1767913,3071,2018-03-29 02:39:00,おらがそば,Soba Restaurant,Fussa,榎1-1-3,2018_1767913__event_001,イオンモールむさし村山,,,True,"On March 29, 2018 at 02:39, the user visited おらがそば, a Soba Restaurant in Fussa. Address: 榎1-1-3. Previous place: イオンモールむさし村山."
2018_1767914__event_001,100312,2018_1767914,86,2018-04-03 01:44:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767914__event_002,PASTAレッジャーノ,True,"On April 3, 2018 at 01:44, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: PASTAレッジャーノ."
2018_1767914__event_002,100312,2018_1767914,2445,2018-04-03 02:08:00,PASTAレッジャーノ,Italian Restaurant,Fussa,榎1-1-3,2018_1767914__event_001,イオンモールむさし村山,,,True,"On April 3, 2018 at 02:08, the user visited PASTAレッジャーノ, a Italian Restaurant in Fussa. Address: 榎1-1-3. Previous place: イオンモールむさし村山."
2018_1767921__event_001,100312,2018_1767921,86,2018-04-24 02:01:00,イオンモールむさし村山,Shopping Mall,Fussa,榎1-1-3,,,2018_1767921__event_002,大阪王将,True,"On April 24, 2018 at 02:01, the user visited イオンモールむさし村山, a Shopping Mall in Fussa. Address: 榎1-1-3. Next place: 大阪王将."
