query_id,user_id,benchmark_tier,query_type,cue_previous_place,cue_category,anchor_event_count,anchor_event_ids,next_successor_count,next_successor_event_ids,category_matched_candidate_count,category_matched_event_ids,uniquely_selected_event_id,candidate_status,is_high_memory_load
tokyo_281448_relational_after,281448,core,relational_after,八王子駅 (Hachiōji Sta.),Japanese Restaurant,12,"[""2018_3403825__event_001"",""2018_3403848__event_001"",""2018_3403849__event_002"",""2018_3403850__event_001"",""2018_3403853__event_001"",""2018_3403853__event_003"",""2018_3403856__event_001"",""2018_3403856__event_003"",""2018_3403860__event_001"",""2018_3403862__event_001"",""2018_3403868__event_002"",""2018_3403888__event_002""]",7,"[""2018_3403825__event_002"",""2018_3403848__event_002"",""2018_3403850__event_002"",""2018_3403853__event_002"",""2018_3403856__event_002"",""2018_3403860__event_002"",""2018_3403862__event_002""]",1,"[""2018_3403853__event_002""]",2018_3403853__event_002,unique_candidate,False
tokyo_283450_relational_after,283450,core,relational_after,江川亭 昭島店,Supermarket,2,"[""2018_3416086__event_001"",""2018_3416120__event_001""]",2,"[""2018_3416086__event_002"",""2018_3416120__event_002""]",1,"[""2018_3416086__event_002""]",2018_3416086__event_002,unique_candidate,True
tokyo_286142_relational_after,286142,core,relational_after,八王子駅北口東喫煙所,Train Station,1,"[""2018_3433040__event_001""]",1,"[""2018_3433040__event_002""]",1,"[""2018_3433040__event_002""]",2018_3433040__event_002,unique_candidate,False
tokyo_286382_relational_after,286382,core,relational_after,味ん味ん 八王子片倉店,Restaurant,1,"[""2018_3434342__event_001""]",1,"[""2018_3434342__event_002""]",1,"[""2018_3434342__event_002""]",2018_3434342__event_002,unique_candidate,False
tokyo_28664_relational_after,28664,core,relational_after,三ヶ木バスターミナル,Steakhouse,8,"[""2018_580028__event_001"",""2018_580028__event_002"",""2018_580039__event_001"",""2018_580041__event_004"",""2018_580044__event_005"",""2018_580044__event_006"",""2018_580047__event_001"",""2018_580047__event_002""]",8,"[""2018_580028__event_002"",""2018_580028__event_003"",""2018_580039__event_002"",""2018_580041__event_005"",""2018_580044__event_006"",""2018_580044__event_007"",""2018_580047__event_002"",""2018_580047__event_003""]",1,"[""2018_580044__event_007""]",2018_580044__event_007,unique_candidate,True
tokyo_28697_relational_after,28697,core,relational_after,Tully's Coffee,Nail Salon,3,"[""2018_580887__event_001"",""2018_580900__event_002"",""2018_580909__event_001""]",2,"[""2018_580887__event_002"",""2018_580909__event_002""]",1,"[""2018_580909__event_002""]",2018_580909__event_002,unique_candidate,False
tokyo_290806_relational_after,290806,core,relational_after,東京都立多摩職業能力開発センター 八王子校,Karaoke Box,1,"[""2018_3462039__event_001""]",1,"[""2018_3462039__event_002""]",1,"[""2018_3462039__event_002""]",2018_3462039__event_002,unique_candidate,False
tokyo_29501_relational_after,29501,core,relational_after,ハイネス二宮,Farmers Market,1,"[""2018_596177__event_003""]",1,"[""2018_596177__event_004""]",1,"[""2018_596177__event_004""]",2018_596177__event_004,unique_candidate,False
tokyo_29757_relational_after,29757,core,relational_after,らしんばん,Ramen Restaurant,1,"[""2018_601373__event_001""]",1,"[""2018_601373__event_002""]",1,"[""2018_601373__event_002""]",2018_601373__event_002,unique_candidate,False
tokyo_29764_relational_after,29764,core,relational_after,万成屋,Toll Booth,1,"[""2018_601478__event_002""]",1,"[""2018_601478__event_003""]",1,"[""2018_601478__event_003""]",2018_601478__event_003,unique_candidate,False
tokyo_31204_relational_after,31204,core,relational_after,富士そば 八王子店,Bar,1,"[""2018_631691__event_001""]",1,"[""2018_631691__event_002""]",1,"[""2018_631691__event_002""]",2018_631691__event_002,unique_candidate,False
tokyo_32545_relational_after,32545,core,relational_after,ケンタッキーフライドチキン,Convenience Store,1,"[""2018_661962__event_002""]",1,"[""2018_661962__event_003""]",1,"[""2018_661962__event_003""]",2018_661962__event_003,unique_candidate,True
tokyo_325605_relational_after,325605,core,relational_after,アニメイト,Italian Restaurant,2,"[""2018_3674428__event_002"",""2018_3674468__event_001""]",2,"[""2018_3674428__event_003"",""2018_3674468__event_002""]",1,"[""2018_3674468__event_002""]",2018_3674468__event_002,unique_candidate,True
tokyo_328941_relational_after,328941,core,relational_after,京王 橋本駅 (KO45),Shopping Mall,1,"[""2018_3694439__event_001""]",1,"[""2018_3694439__event_002""]",1,"[""2018_3694439__event_002""]",2018_3694439__event_002,unique_candidate,False
tokyo_339444_relational_after,339444,core,relational_after,らあめん花月嵐 小平仲町店,Convenience Store,1,"[""2018_3757165__event_004""]",1,"[""2018_3757165__event_005""]",1,"[""2018_3757165__event_005""]",2018_3757165__event_005,unique_candidate,False
tokyo_342180_relational_after,342180,core,relational_after,道の駅 八王子滝山,Bowling Alley,6,"[""2018_3773285__event_001"",""2018_3773294__event_002"",""2018_3773298__event_002"",""2018_3773300__event_001"",""2018_3773314__event_002"",""2018_3773318__event_003""]",4,"[""2018_3773285__event_002"",""2018_3773300__event_002"",""2018_3773314__event_003"",""2018_3773318__event_004""]",1,"[""2018_3773318__event_004""]",2018_3773318__event_004,unique_candidate,True
tokyo_34258_relational_after,34258,core,relational_after,5-6番線ホーム,Hobby Shop,14,"[""2018_698462__event_002"",""2018_698467__event_002"",""2018_698467__event_003"",""2018_698471__event_002"",""2018_698471__event_003"",""2018_698472__event_002"",""2018_698472__event_003"",""2018_698473__event_002"",""2018_698478__event_002"",""2018_698479__event_002"",""2018_698480__event_002"",""2018_698482__event_002"",""2018_698482__event_003"",""2018_698483__event_002""]",8,"[""2018_698467__event_003"",""2018_698467__event_004"",""2018_698471__event_003"",""2018_698471__event_004"",""2018_698472__event_003"",""2018_698472__event_004"",""2018_698482__event_003"",""2018_698482__event_004""]",1,"[""2018_698467__event_004""]",2018_698467__event_004,unique_candidate,False
tokyo_347501_relational_after,347501,core,relational_after,ファミリーマート あきる野滝山街道店,Convenience Store,1,"[""2018_3804279__event_001""]",1,"[""2018_3804279__event_002""]",1,"[""2018_3804279__event_002""]",2018_3804279__event_002,unique_candidate,False
tokyo_348059_relational_after,348059,core,relational_after,京王八王子駅 (Keiō-hachiōji Sta.),Train Station,1,"[""2018_3807516__event_003""]",1,"[""2018_3807516__event_004""]",1,"[""2018_3807516__event_004""]",2018_3807516__event_004,unique_candidate,False
tokyo_348682_relational_after,348682,core,relational_after,鳥居原ふれあいの館,Bus Station,7,"[""2018_3811310__event_001"",""2018_3811316__event_001"",""2018_3811326__event_001"",""2018_3811332__event_001"",""2018_3811346__event_001"",""2018_3811349__event_001"",""2018_3811349__event_002""]",7,"[""2018_3811310__event_002"",""2018_3811316__event_002"",""2018_3811326__event_002"",""2018_3811332__event_002"",""2018_3811346__event_002"",""2018_3811349__event_002"",""2018_3811349__event_003""]",1,"[""2018_3811346__event_002""]",2018_3811346__event_002,unique_candidate,False
tokyo_350248_relational_after,350248,core,relational_after,ロイヤルホームセンター 相模原橋本店,Convenience Store,3,"[""2018_3820531__event_001"",""2018_3820539__event_002"",""2018_3820563__event_001""]",2,"[""2018_3820531__event_002"",""2018_3820563__event_002""]",1,"[""2018_3820531__event_002""]",2018_3820531__event_002,unique_candidate,True
tokyo_356419_relational_after,356419,core,relational_after,JR 橋本駅 (JR Hashimoto Sta.),Ramen Restaurant,2,"[""2018_3855574__event_003"",""2018_3855579__event_001""]",2,"[""2018_3855574__event_004"",""2018_3855579__event_002""]",1,"[""2018_3855579__event_002""]",2018_3855579__event_002,unique_candidate,False
tokyo_35718_relational_after,35718,core,relational_after,鳥居原ふれあいの館,Shopping Mall,8,"[""2018_727114__event_001"",""2018_727117__event_001"",""2018_727120__event_001"",""2018_727129__event_001"",""2018_727136__event_002"",""2018_727136__event_003"",""2018_727143__event_001"",""2018_727143__event_002""]",6,"[""2018_727114__event_002"",""2018_727117__event_002"",""2018_727120__event_002"",""2018_727129__event_002"",""2018_727136__event_003"",""2018_727143__event_002""]",1,"[""2018_727120__event_002""]",2018_727120__event_002,unique_candidate,False
tokyo_362630_relational_after,362630,core,relational_after,竹の家,BBQ Joint,1,"[""2018_3889086__event_002""]",1,"[""2018_3889086__event_003""]",1,"[""2018_3889086__event_003""]",2018_3889086__event_003,unique_candidate,False
tokyo_36487_relational_after,36487,core,relational_after,あきる野IC,Automotive Shop,2,"[""2018_741699__event_002"",""2018_741708__event_002""]",1,"[""2018_741708__event_003""]",1,"[""2018_741708__event_003""]",2018_741708__event_003,unique_candidate,False
tokyo_365381_relational_after,365381,core,relational_after,ラウンドワン 八王子店,College Rec Center,2,"[""2018_3903074__event_001"",""2018_3903075__event_001""]",2,"[""2018_3903074__event_002"",""2018_3903075__event_002""]",1,"[""2018_3903074__event_002""]",2018_3903074__event_002,unique_candidate,False
tokyo_41088_relational_after,41088,core,relational_after,モリタウン (mori town),Bowling Alley,1,"[""2018_830967__event_001""]",1,"[""2018_830967__event_002""]",1,"[""2018_830967__event_002""]",2018_830967__event_002,unique_candidate,True
tokyo_42282_relational_after,42282,core,relational_after,滝山病院,Fast Food Restaurant,2,"[""2018_852419__event_001"",""2018_852454__event_001""]",2,"[""2018_852419__event_002"",""2018_852454__event_002""]",1,"[""2018_852454__event_002""]",2018_852454__event_002,unique_candidate,False
tokyo_44616_relational_after,44616,core,relational_after,カインズ 町田多摩境店,Automotive Shop,1,"[""2018_895859__event_002""]",1,"[""2018_895859__event_003""]",1,"[""2018_895859__event_003""]",2018_895859__event_003,unique_candidate,False
