query_id,user_id,query_type,target_event_id,target_is_dense_top5,e5_dense_target_rank,top5_raw_ppr_target_rank,top5_ppr_rrf_target_rank,all_event_raw_ppr_target_rank,all_event_ppr_rrf_target_rank,e5_dense_reciprocal_rank,top5_raw_ppr_reciprocal_rank,top5_ppr_rrf_reciprocal_rank,all_event_raw_ppr_reciprocal_rank,all_event_ppr_rrf_reciprocal_rank,e5_dense_top1_event_id,top5_raw_ppr_top1_event_id,top5_ppr_rrf_top1_event_id,all_event_raw_ppr_top1_event_id,all_event_ppr_rrf_top1_event_id,all_rrf_rank_gain_vs_dense,all_rrf_rank_gain_vs_top5_rrf,all_raw_rank_gain_vs_top5_raw
tokyo_101467_semantic,101467,semantic,2018_1784986__event_002,True,1,1,1,6,1,1.0000000000,1.0000000000,1.0000000000,0.1666666667,1.0000000000,2018_1784986__event_002,2018_1784986__event_002,2018_1784986__event_002,2018_1785005__event_002,2018_1784986__event_002,0,0,-5
tokyo_101467_temporal_spatial,101467,temporal_spatial,2018_1785004__event_001,True,2,4,3,10,3,0.5000000000,0.2500000000,0.3333333333,0.1000000000,0.3333333333,2018_1785009__event_001,2018_1785009__event_001,2018_1785009__event_001,2018_1785003__event_002,2018_1785003__event_002,-1,0,-6
tokyo_103621_relational_after,103621,relational_after,2018_1816122__event_002,True,2,4,3,1,2,0.5000000000,0.2500000000,0.3333333333,1.0000000000,0.5000000000,2018_1816122__event_001,2018_1816122__event_001,2018_1816122__event_001,2018_1816122__event_002,2018_1816122__event_001,0,1,3
tokyo_103621_semantic,103621,semantic,2018_1816137__event_002,True,1,1,1,6,3,1.0000000000,1.0000000000,1.0000000000,0.1666666667,0.3333333333,2018_1816137__event_002,2018_1816137__event_002,2018_1816137__event_002,2018_1816129__event_001,2018_1816129__event_001,-2,-2,-5
tokyo_103621_temporal_spatial,103621,temporal_spatial,2018_1816124__event_001,True,1,3,1,3,1,1.0000000000,0.3333333333,1.0000000000,0.3333333333,1.0000000000,2018_1816124__event_001,2018_1816125__event_001,2018_1816124__event_001,2018_1816124__event_002,2018_1816124__event_001,0,0,0
tokyo_106628_relational_after,106628,relational_after,2018_1860406__event_003,True,1,4,3,12,3,1.0000000000,0.2500000000,0.3333333333,0.0833333333,0.3333333333,2018_1860406__event_003,2018_1860419__event_002,2018_1860419__event_002,2018_1860406__event_002,2018_1860406__event_002,-2,0,-8
tokyo_106628_semantic,106628,semantic,2018_1860388__event_002,False,6,76,24,15,7,0.1666666667,0.0131578947,0.0416666667,0.0666666667,0.1428571429,2018_1860405__event_002,2018_1860405__event_002,2018_1860405__event_002,2018_1860443__event_002,2018_1860443__event_002,-1,17,61
tokyo_106628_temporal_spatial,106628,temporal_spatial,2018_1860444__event_001,True,2,1,2,25,9,0.5000000000,1.0000000000,0.5000000000,0.0400000000,0.1111111111,2018_1860435__event_002,2018_1860444__event_001,2018_1860435__event_002,2018_1860391__event_002,2018_1860435__event_002,-7,-7,-24
tokyo_109617_relational_after,109617,relational_after,2018_1909144__event_002,True,3,2,3,14,5,0.3333333333,0.5000000000,0.3333333333,0.0714285714,0.2000000000,2018_1909184__event_001,2018_1909144__event_001,2018_1909144__event_001,2018_1909157__event_002,2018_1909184__event_001,-2,-2,-12
tokyo_109617_semantic,109617,semantic,2018_1909178__event_001,True,1,3,1,23,6,1.0000000000,0.3333333333,1.0000000000,0.0434782609,0.1666666667,2018_1909178__event_001,2018_1909181__event_002,2018_1909178__event_001,2018_1909213__event_002,2018_1909213__event_002,-5,-5,-20
tokyo_109617_temporal_spatial,109617,temporal_spatial,2018_1909138__event_002,True,2,3,2,10,1,0.5000000000,0.3333333333,0.5000000000,0.1000000000,1.0000000000,2018_1909213__event_001,2018_1909181__event_002,2018_1909181__event_002,2018_1909213__event_002,2018_1909138__event_002,1,1,-7
tokyo_109621_relational_after,109621,relational_after,2018_1909384__event_002,True,4,2,2,39,12,0.2500000000,0.5000000000,0.5000000000,0.0256410256,0.0833333333,2018_1909384__event_001,2018_1909384__event_001,2018_1909384__event_001,2018_1909383__event_003,2018_1909383__event_003,-8,-10,-37
tokyo_109621_semantic,109621,semantic,2018_1909374__event_005,True,1,3,1,61,14,1.0000000000,0.3333333333,1.0000000000,0.0163934426,0.0714285714,2018_1909374__event_005,2018_1909388__event_002,2018_1909374__event_005,2018_1909378__event_002,2018_1909371__event_002,-13,-13,-58
tokyo_109621_temporal_spatial,109621,temporal_spatial,2018_1909385__event_002,True,1,3,2,39,8,1.0000000000,0.3333333333,0.5000000000,0.0256410256,0.1250000000,2018_1909385__event_002,2018_1909388__event_001,2018_1909388__event_001,2018_1909378__event_002,2018_1909378__event_002,-7,-6,-36
tokyo_113499_relational_after,113499,relational_after,2018_1959244__event_002,True,3,4,4,5,5,0.3333333333,0.2500000000,0.2500000000,0.2000000000,0.2000000000,2018_1959244__event_001,2018_1959244__event_001,2018_1959244__event_001,2018_1959234__event_003,2018_1959244__event_001,-2,-1,-1
tokyo_113499_semantic,113499,semantic,2018_1959247__event_001,True,1,1,1,5,1,1.0000000000,1.0000000000,1.0000000000,0.2000000000,1.0000000000,2018_1959247__event_001,2018_1959247__event_001,2018_1959247__event_001,2018_1959234__event_003,2018_1959247__event_001,0,0,-4
tokyo_113499_temporal_spatial,113499,temporal_spatial,2018_1959247__event_002,True,3,3,3,5,2,0.3333333333,0.3333333333,0.3333333333,0.2000000000,0.5000000000,2018_1959250__event_001,2018_1959250__event_001,2018_1959250__event_001,2018_1959234__event_003,2018_1959250__event_002,1,1,-2
tokyo_113897_relational_after,113897,relational_after,2018_1963899__event_002,True,1,2,2,4,1,1.0000000000,0.5000000000,0.5000000000,0.2500000000,1.0000000000,2018_1963899__event_002,2018_1963899__event_001,2018_1963899__event_001,2018_1963911__event_002,2018_1963899__event_002,0,1,-2
tokyo_113897_semantic,113897,semantic,2018_1963910__event_002,True,1,1,1,4,1,1.0000000000,1.0000000000,1.0000000000,0.2500000000,1.0000000000,2018_1963910__event_002,2018_1963910__event_002,2018_1963910__event_002,2018_1963913__event_002,2018_1963910__event_002,0,0,-3
tokyo_113897_temporal_spatial,113897,temporal_spatial,2018_1963913__event_002,True,3,3,3,1,1,0.3333333333,0.3333333333,0.3333333333,1.0000000000,1.0000000000,2018_1963902__event_002,2018_1963902__event_002,2018_1963902__event_002,2018_1963913__event_002,2018_1963913__event_002,2,2,2
tokyo_115855_relational_after,115855,relational_after,2018_1984790__event_004,True,1,3,2,9,5,1.0000000000,0.3333333333,0.5000000000,0.1111111111,0.2000000000,2018_1984790__event_004,2018_1984790__event_003,2018_1984790__event_003,2018_1984790__event_003,2018_1984790__event_003,-4,-3,-6
tokyo_115855_semantic,115855,semantic,2018_1984781__event_001,True,1,4,2,8,4,1.0000000000,0.2500000000,0.5000000000,0.1250000000,0.2500000000,2018_1984781__event_001,2018_1984800__event_002,2018_1984800__event_002,2018_1984790__event_002,2018_1984790__event_002,-3,-2,-4
tokyo_115855_temporal_spatial,115855,temporal_spatial,2018_1984792__event_001,True,1,1,1,3,1,1.0000000000,1.0000000000,1.0000000000,0.3333333333,1.0000000000,2018_1984792__event_001,2018_1984792__event_001,2018_1984792__event_001,2018_1984790__event_002,2018_1984792__event_001,0,0,-2
tokyo_1172_relational_after,1172,relational_after,2018_23942__event_003,True,1,4,2,16,5,1.0000000000,0.2500000000,0.5000000000,0.0625000000,0.2000000000,2018_23942__event_003,2018_23942__event_002,2018_23942__event_002,2018_23942__event_002,2018_23942__event_002,-4,-3,-12
tokyo_1172_semantic,1172,semantic,2018_23905__event_001,True,1,1,1,14,2,1.0000000000,1.0000000000,1.0000000000,0.0714285714,0.5000000000,2018_23905__event_001,2018_23905__event_001,2018_23905__event_001,2018_23883__event_002,2018_23883__event_002,-1,-1,-13
tokyo_1172_temporal_spatial,1172,temporal_spatial,2018_23928__event_002,True,2,3,3,15,4,0.5000000000,0.3333333333,0.3333333333,0.0666666667,0.2500000000,2018_23894__event_002,2018_23931__event_001,2018_23894__event_002,2018_23879__event_002,2018_23879__event_002,-2,-1,-12
tokyo_119597_relational_after,119597,relational_after,2018_2023466__event_003,True,3,3,3,10,4,0.3333333333,0.3333333333,0.3333333333,0.1000000000,0.2500000000,2018_2023466__event_002,2018_2023466__event_002,2018_2023466__event_002,2018_2023466__event_002,2018_2023466__event_002,-1,-1,-7
tokyo_119597_semantic,119597,semantic,2018_2023491__event_002,True,1,1,1,8,1,1.0000000000,1.0000000000,1.0000000000,0.1250000000,1.0000000000,2018_2023491__event_002,2018_2023491__event_002,2018_2023491__event_002,2018_2023460__event_002,2018_2023491__event_002,0,0,-7
tokyo_119597_temporal_spatial,119597,temporal_spatial,2018_2023484__event_001,True,3,4,4,32,15,0.3333333333,0.2500000000,0.2500000000,0.0312500000,0.0666666667,2018_2023484__event_004,2018_2023484__event_004,2018_2023484__event_004,2018_2023460__event_002,2018_2023484__event_004,-12,-11,-28
tokyo_121554_relational_after,121554,relational_after,2018_2047595__event_002,True,3,3,3,6,5,0.3333333333,0.3333333333,0.3333333333,0.1666666667,0.2000000000,2018_2047595__event_001,2018_2047595__event_001,2018_2047595__event_001,2018_2047609__event_002,2018_2047595__event_001,-2,-2,-3
tokyo_121554_semantic,121554,semantic,2018_2047617__event_001,True,1,1,1,6,2,1.0000000000,1.0000000000,1.0000000000,0.1666666667,0.5000000000,2018_2047617__event_001,2018_2047617__event_001,2018_2047617__event_001,2018_2047606__event_004,2018_2047606__event_004,-1,-1,-5
tokyo_121554_temporal_spatial,121554,temporal_spatial,2018_2047610__event_001,True,2,2,2,6,2,0.5000000000,0.5000000000,0.5000000000,0.1666666667,0.5000000000,2018_2047595__event_001,2018_2047595__event_001,2018_2047595__event_001,2018_2047606__event_002,2018_2047595__event_001,0,0,-4
tokyo_126183_relational_after,126183,relational_after,2018_2118390__event_003,True,3,4,4,16,4,0.3333333333,0.2500000000,0.2500000000,0.0625000000,0.2500000000,2018_2118382__event_003,2018_2118390__event_002,2018_2118382__event_003,2018_2118390__event_002,2018_2118390__event_002,-1,0,-12
tokyo_126183_semantic,126183,semantic,2018_2118349__event_002,True,1,1,1,27,7,1.0000000000,1.0000000000,1.0000000000,0.0370370370,0.1428571429,2018_2118349__event_002,2018_2118349__event_002,2018_2118349__event_002,2018_2118382__event_002,2018_2118370__event_002,-6,-6,-26
tokyo_126183_temporal_spatial,126183,temporal_spatial,2018_2118370__event_003,True,2,3,3,43,14,0.5000000000,0.3333333333,0.3333333333,0.0232558140,0.0714285714,2018_2118374__event_002,2018_2118364__event_002,2018_2118374__event_002,2018_2118387__event_002,2018_2118387__event_002,-12,-11,-40
tokyo_127201_relational_after,127201,relational_after,2018_2134912__event_003,True,3,2,2,9,5,0.3333333333,0.5000000000,0.5000000000,0.1111111111,0.2000000000,2018_2134912__event_002,2018_2134912__event_002,2018_2134912__event_002,2018_2134912__event_002,2018_2134912__event_002,-2,-3,-7
tokyo_127201_semantic,127201,semantic,2018_2134917__event_001,True,1,1,1,8,2,1.0000000000,1.0000000000,1.0000000000,0.1250000000,0.5000000000,2018_2134917__event_001,2018_2134917__event_001,2018_2134917__event_001,2018_2134939__event_002,2018_2134938__event_002,-1,-1,-7
tokyo_127201_temporal_spatial,127201,temporal_spatial,2018_2134912__event_002,True,1,2,1,1,1,1.0000000000,0.5000000000,1.0000000000,1.0000000000,1.0000000000,2018_2134912__event_002,2018_2134938__event_005,2018_2134912__event_002,2018_2134912__event_002,2018_2134912__event_002,0,0,1
tokyo_129047_relational_after,129047,relational_after,2018_2163684__event_002,True,2,2,2,3,2,0.5000000000,0.5000000000,0.5000000000,0.3333333333,0.5000000000,2018_2163684__event_001,2018_2163684__event_001,2018_2163684__event_001,2018_2163670__event_002,2018_2163684__event_001,0,0,-1
tokyo_129047_semantic,129047,semantic,2018_2163670__event_002,True,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,2018_2163670__event_002,2018_2163670__event_002,2018_2163670__event_002,2018_2163670__event_002,2018_2163670__event_002,0,0,0
tokyo_129047_temporal_spatial,129047,temporal_spatial,2018_2163670__event_002,True,2,1,1,1,1,0.5000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,2018_2163670__event_003,2018_2163670__event_002,2018_2163670__event_002,2018_2163670__event_002,2018_2163670__event_002,1,0,0
tokyo_130084_relational_after,130084,relational_after,2018_2179339__event_002,True,3,4,4,10,2,0.3333333333,0.2500000000,0.2500000000,0.1000000000,0.5000000000,2018_2179339__event_001,2018_2179339__event_001,2018_2179339__event_001,2018_2179306__event_002,2018_2179339__event_001,1,2,-6
tokyo_130084_semantic,130084,semantic,2018_2179333__event_001,True,1,3,2,46,10,1.0000000000,0.3333333333,0.5000000000,0.0217391304,0.1000000000,2018_2179333__event_001,2018_2179323__event_002,2018_2179323__event_002,2018_2179333__event_002,2018_2179333__event_002,-9,-8,-43
tokyo_130084_temporal_spatial,130084,temporal_spatial,2018_2179329__event_003,True,1,4,2,66,21,1.0000000000,0.2500000000,0.5000000000,0.0151515152,0.0476190476,2018_2179329__event_003,2018_2179310__event_002,2018_2179310__event_002,2018_2179333__event_002,2018_2179333__event_002,-20,-19,-62
tokyo_130568_relational_after,130568,relational_after,2018_2187169__event_002,True,2,2,2,14,5,0.5000000000,0.5000000000,0.5000000000,0.0714285714,0.2000000000,2018_2187169__event_001,2018_2187169__event_001,2018_2187169__event_001,2018_2187162__event_002,2018_2187173__event_002,-3,-3,-12
tokyo_130568_semantic,130568,semantic,2018_2187171__event_001,True,1,2,1,22,6,1.0000000000,0.5000000000,1.0000000000,0.0454545455,0.1666666667,2018_2187171__event_001,2018_2187166__event_002,2018_2187171__event_001,2018_2187170__event_002,2018_2187173__event_006,-5,-5,-20
tokyo_130568_temporal_spatial,130568,temporal_spatial,2018_2187162__event_001,True,2,5,3,19,4,0.5000000000,0.2000000000,0.3333333333,0.0526315789,0.2500000000,2018_2187173__event_005,2018_2187163__event_001,2018_2187173__event_005,2018_2187162__event_002,2018_2187173__event_005,-2,-1,-14
tokyo_130777_relational_after,130777,relational_after,2018_2190768__event_003,True,3,2,2,4,2,0.3333333333,0.5000000000,0.5000000000,0.2500000000,0.5000000000,2018_2190768__event_002,2018_2190768__event_002,2018_2190768__event_002,2018_2190768__event_002,2018_2190768__event_002,1,0,-2
tokyo_130777_semantic,130777,semantic,2018_2190763__event_002,True,1,3,2,7,1,1.0000000000,0.3333333333,0.5000000000,0.1428571429,1.0000000000,2018_2190763__event_002,2018_2190702__event_001,2018_2190702__event_001,2018_2190703__event_002,2018_2190763__event_002,0,1,-4
tokyo_130777_temporal_spatial,130777,temporal_spatial,2018_2190703__event_002,True,3,3,3,1,1,0.3333333333,0.3333333333,0.3333333333,1.0000000000,1.0000000000,2018_2190702__event_001,2018_2190702__event_002,2018_2190702__event_001,2018_2190703__event_002,2018_2190703__event_002,2,2,2
tokyo_130872_relational_after,130872,relational_after,2018_2192457__event_003,True,5,5,5,21,13,0.2000000000,0.2000000000,0.2000000000,0.0476190476,0.0769230769,2018_2192458__event_001,2018_2192458__event_001,2018_2192458__event_001,2018_2192442__event_002,2018_2192458__event_001,-8,-8,-16
tokyo_130872_semantic,130872,semantic,2018_2192451__event_003,True,1,4,2,22,9,1.0000000000,0.2500000000,0.5000000000,0.0454545455,0.1111111111,2018_2192451__event_003,2018_2192476__event_001,2018_2192476__event_001,2018_2192451__event_002,2018_2192464__event_002,-8,-7,-18
tokyo_130872_temporal_spatial,130872,temporal_spatial,2018_2192476__event_001,True,1,1,1,7,1,1.0000000000,1.0000000000,1.0000000000,0.1428571429,1.0000000000,2018_2192476__event_001,2018_2192476__event_001,2018_2192476__event_001,2018_2192451__event_002,2018_2192476__event_001,0,0,-6
tokyo_131525_relational_after,131525,relational_after,2018_2202067__event_002,True,1,2,2,6,1,1.0000000000,0.5000000000,0.5000000000,0.1666666667,1.0000000000,2018_2202067__event_002,2018_2202067__event_001,2018_2202067__event_001,2018_2202065__event_002,2018_2202067__event_002,0,1,-4
tokyo_131525_semantic,131525,semantic,2018_2202078__event_002,True,1,1,1,12,4,1.0000000000,1.0000000000,1.0000000000,0.0833333333,0.2500000000,2018_2202078__event_002,2018_2202078__event_002,2018_2202078__event_002,2018_2202065__event_002,2018_2202086__event_002,-3,-3,-11
tokyo_131525_temporal_spatial,131525,temporal_spatial,2018_2202069__event_002,True,1,1,1,11,3,1.0000000000,1.0000000000,1.0000000000,0.0909090909,0.3333333333,2018_2202069__event_002,2018_2202069__event_002,2018_2202069__event_002,2018_2202071__event_002,2018_2202084__event_001,-2,-2,-10
tokyo_132723_relational_after,132723,relational_after,2018_2219866__event_002,True,1,1,1,6,2,1.0000000000,1.0000000000,1.0000000000,0.1666666667,0.5000000000,2018_2219866__event_002,2018_2219866__event_002,2018_2219866__event_002,2018_2219917__event_002,2018_2219917__event_002,-1,-1,-5
tokyo_132723_semantic,132723,semantic,2018_2219917__event_003,True,3,5,4,41,17,0.3333333333,0.2000000000,0.2500000000,0.0243902439,0.0588235294,2018_2219906__event_002,2018_2219906__event_002,2018_2219906__event_002,2018_2219895__event_002,2018_2219867__event_002,-14,-13,-36
tokyo_132723_temporal_spatial,132723,temporal_spatial,2018_2219915__event_001,True,3,4,4,7,3,0.3333333333,0.2500000000,0.2500000000,0.1428571429,0.3333333333,2018_2219904__event_002,2018_2219903__event_002,2018_2219903__event_002,2018_2219897__event_002,2018_2219904__event_002,0,1,-3
tokyo_134307_relational_after,134307,relational_after,2018_2242042__event_002,True,4,4,4,5,5,0.2500000000,0.2500000000,0.2500000000,0.2000000000,0.2000000000,2018_2242033__event_003,2018_2242033__event_002,2018_2242033__event_002,2018_2242033__event_002,2018_2242033__event_002,-1,-1,-1
tokyo_134307_semantic,134307,semantic,2018_2242051__event_003,True,1,4,2,14,6,1.0000000000,0.2500000000,0.5000000000,0.0714285714,0.1666666667,2018_2242051__event_003,2018_2242026__event_002,2018_2242026__event_002,2018_2242051__event_002,2018_2242026__event_002,-5,-4,-10
tokyo_134307_temporal_spatial,134307,temporal_spatial,2018_2242038__event_002,True,1,1,1,3,1,1.0000000000,1.0000000000,1.0000000000,0.3333333333,1.0000000000,2018_2242038__event_002,2018_2242038__event_002,2018_2242038__event_002,2018_2242033__event_002,2018_2242038__event_002,0,0,-2
tokyo_135393_relational_after,135393,relational_after,2018_2257260__event_002,True,4,1,2,18,7,0.2500000000,1.0000000000,0.5000000000,0.0555555556,0.1428571429,2018_2257268__event_001,2018_2257260__event_002,2018_2257268__event_001,2018_2257274__event_002,2018_2257274__event_002,-3,-5,-17
tokyo_135393_semantic,135393,semantic,2018_2257280__event_002,False,14,41,25,29,22,0.0714285714,0.0243902439,0.0400000000,0.0344827586,0.0454545455,2018_2257283__event_003,2018_2257283__event_003,2018_2257283__event_003,2018_2257274__event_002,2018_2257283__event_003,-8,3,12
tokyo_135393_temporal_spatial,135393,temporal_spatial,2018_2257283__event_004,True,1,1,1,20,6,1.0000000000,1.0000000000,1.0000000000,0.0500000000,0.1666666667,2018_2257283__event_004,2018_2257283__event_004,2018_2257283__event_004,2018_2257283__event_002,2018_2257283__event_002,-5,-5,-19
tokyo_138301_relational_after,138301,relational_after,2018_2294104__event_003,True,2,2,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.5000000000,0.5000000000,2018_2294104__event_002,2018_2294104__event_002,2018_2294104__event_002,2018_2294104__event_002,2018_2294104__event_002,0,0,0
tokyo_138301_semantic,138301,semantic,2018_2294095__event_002,True,1,1,1,8,1,1.0000000000,1.0000000000,1.0000000000,0.1250000000,1.0000000000,2018_2294095__event_002,2018_2294095__event_002,2018_2294095__event_002,2018_2294109__event_002,2018_2294095__event_002,0,0,-7
tokyo_138301_temporal_spatial,138301,temporal_spatial,2018_2294117__event_001,True,1,1,1,8,2,1.0000000000,1.0000000000,1.0000000000,0.1250000000,0.5000000000,2018_2294117__event_001,2018_2294117__event_001,2018_2294117__event_001,2018_2294109__event_002,2018_2294113__event_003,-1,-1,-7
tokyo_139656_relational_after,139656,relational_after,2018_2308851__event_002,True,2,1,2,1,1,0.5000000000,1.0000000000,0.5000000000,1.0000000000,1.0000000000,2018_2308851__event_001,2018_2308851__event_002,2018_2308851__event_001,2018_2308851__event_002,2018_2308851__event_002,1,1,0
tokyo_139656_semantic,139656,semantic,2018_2308863__event_002,True,1,1,1,2,1,1.0000000000,1.0000000000,1.0000000000,0.5000000000,1.0000000000,2018_2308863__event_002,2018_2308863__event_002,2018_2308863__event_002,2018_2308851__event_002,2018_2308863__event_002,0,0,-1
tokyo_139656_temporal_spatial,139656,temporal_spatial,2018_2308851__event_001,False,15,11,11,53,31,0.0666666667,0.0909090909,0.0909090909,0.0188679245,0.0322580645,2018_2308846__event_002,2018_2308846__event_002,2018_2308846__event_002,2018_2308851__event_002,2018_2308846__event_002,-16,-20,-42
tokyo_140734_relational_after,140734,relational_after,2018_2320244__event_002,True,1,1,1,3,1,1.0000000000,1.0000000000,1.0000000000,0.3333333333,1.0000000000,2018_2320244__event_002,2018_2320244__event_002,2018_2320244__event_002,2018_2320253__event_003,2018_2320244__event_002,0,0,-2
tokyo_140734_semantic,140734,semantic,2018_2320266__event_001,True,3,3,3,5,3,0.3333333333,0.3333333333,0.3333333333,0.2000000000,0.3333333333,2018_2320244__event_001,2018_2320244__event_001,2018_2320244__event_001,2018_2320253__event_003,2018_2320244__event_001,0,0,-2
tokyo_140734_temporal_spatial,140734,temporal_spatial,2018_2320253__event_004,True,1,2,1,9,4,1.0000000000,0.5000000000,1.0000000000,0.1111111111,0.2500000000,2018_2320253__event_004,2018_2320253__event_003,2018_2320253__event_004,2018_2320253__event_003,2018_2320253__event_003,-3,-3,-7
tokyo_140775_relational_after,140775,relational_after,2018_2320657__event_002,True,1,1,1,4,1,1.0000000000,1.0000000000,1.0000000000,0.2500000000,1.0000000000,2018_2320657__event_002,2018_2320657__event_002,2018_2320657__event_002,2018_2320634__event_002,2018_2320657__event_002,0,0,-3
tokyo_140775_semantic,140775,semantic,2018_2320660__event_002,True,4,3,4,8,5,0.2500000000,0.3333333333,0.2500000000,0.1250000000,0.2000000000,2018_2320660__event_001,2018_2320666__event_001,2018_2320666__event_001,2018_2320646__event_002,2018_2320660__event_001,-1,-1,-5
tokyo_140775_temporal_spatial,140775,temporal_spatial,2018_2320655__event_001,True,1,1,1,4,1,1.0000000000,1.0000000000,1.0000000000,0.2500000000,1.0000000000,2018_2320655__event_001,2018_2320655__event_001,2018_2320655__event_001,2018_2320634__event_002,2018_2320655__event_001,0,0,-3
tokyo_149225_relational_after,149225,relational_after,2018_2402537__event_002,True,4,5,5,1,2,0.2500000000,0.2000000000,0.2000000000,1.0000000000,0.5000000000,2018_2402528__event_001,2018_2402528__event_001,2018_2402528__event_001,2018_2402537__event_002,2018_2402528__event_001,2,3,4
tokyo_149225_semantic,149225,semantic,2018_2402517__event_002,True,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,2018_2402517__event_002,2018_2402517__event_002,2018_2402517__event_002,2018_2402517__event_002,2018_2402517__event_002,0,0,0
tokyo_149225_temporal_spatial,149225,temporal_spatial,2018_2402529__event_002,True,2,2,2,4,2,0.5000000000,0.5000000000,0.5000000000,0.2500000000,0.5000000000,2018_2402533__event_002,2018_2402533__event_002,2018_2402533__event_002,2018_2402517__event_002,2018_2402533__event_002,0,0,-2
tokyo_152722_relational_after,152722,relational_after,2018_2446506__event_002,True,1,3,1,7,1,1.0000000000,0.3333333333,1.0000000000,0.1428571429,1.0000000000,2018_2446506__event_002,2018_2446527__event_001,2018_2446506__event_002,2018_2446525__event_002,2018_2446506__event_002,0,0,-4
tokyo_152722_semantic,152722,semantic,2018_2446517__event_003,True,1,4,2,24,8,1.0000000000,0.2500000000,0.5000000000,0.0416666667,0.1250000000,2018_2446517__event_003,2018_2446506__event_001,2018_2446506__event_001,2018_2446517__event_002,2018_2446517__event_002,-7,-6,-20
tokyo_152722_temporal_spatial,152722,temporal_spatial,2018_2446517__event_003,True,1,4,2,21,5,1.0000000000,0.2500000000,0.5000000000,0.0476190476,0.2000000000,2018_2446517__event_003,2018_2446506__event_001,2018_2446506__event_001,2018_2446517__event_002,2018_2446517__event_002,-4,-3,-17
